@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,6,7,8,9,10,11,15,17,24,25,26,27,28,29,33,37,38,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
93,32,93,94,125,15,235,250,16,125,344,125,125,94,172,31,78,141,15,94,62,94,1
234,141,62,110,0,15,16,218,125,188,109,94,156,235,297,31,93,282,109,93,32,109,1
62,32,109,109,109,16,31,63,46,47,63,63,93,94,109,16,94,47,125,62,32,78,1
63,15,94,31,0,15,94,78,78,63,15,93,110,62,94,47,109,78,110,63,47,94,1
78,63,62,109,125,16,16,94,62,16,79,78,125,94,109,16,94,47,125,62,32,78,1
141,15,82,91,91,259,63,109,31,78,16,125,125,78,110,94,110,343,125,94,15,125,1
109,188,62,63,78,172,78,157,219,16,110,16,94,93,94,125,125,125,250,156,15,109,1
125,15,110,91,94,223,16,110,156,16,78,171,125,78,110,94,110,343,125,94,15,125,1
94,31,78,63,63,62,78,78,62,32,46,31,93,79,63,109,78,16,62,15,47,16,1
78,16,62,62,515,63,79,78,78,31,79,15,47,125,78,79,109,172,15,109,16,79,1
140,31,63,63,94,62,31,109,110,172,16,110,78,79,63,109,78,16,62,15,47,16,1
125,62,94,78,78,125,78,172,46,16,63,125,78,78,141,46,62,32,109,78,15,63,1
172,16,78,94,78,125,78,110,172,116,41,63,141,79,156,47,126,46,219,78,47,46,1
94,31,47,78,62,125,78,63,32,31,62,94,62,78,141,46,62,32,109,78,15,63,1
78,62,110,141,141,16,110,203,78,16,94,109,110,94,94,125,187,16,94,79,78,62,1
203,31,125,62,172,15,94,125,109,63,109,78,94,79,78,110,110,93,32,94,31,63,1
78,47,78,141,125,109,47,109,94,15,63,63,93,94,94,125,187,16,94,79,78,62,1
62,32,78,62,62,141,63,78,62,110,78,78,110,79,79,140,63,15,78,78,16,62,1
78,47,62,93,78,157,79,125,94,203,47,78,156,47,109,94,125,47,78,63,47,78,1
63,125,47,62,63,140,46,141,78,31,63,63,78,79,79,140,63,15,78,78,16,62,1
94,141,93,328,328,62,157,313,47,78,125,422,47,344,140,234,47,125,78,78,31,94,1
313,109,32,31,0,62,344,140,140,235,62,359,515,78,16,93,94,78,62,62,281,79,1
78,78,156,328,0,63,47,62,109,141,62,94,125,344,140,234,47,125,78,78,31,94,1
93,282,93,94,94,47,63,63,63,218,47,79,109,78,63,140,78,828,78,63,219,78,1
63,297,62,62,93,63,78,203,78,250,78,93,47,62,78,140,94,62,344,78,204,62,1
62,797,94,94,141,203,219,125,78,375,47,62,78,78,63,140,78,828,78,63,219,78,1
93,32,93,250,250,63,78,78,125,46,0,187,266,63,125,47,109,32,93,93,78,63,1
78,16,94,78,125,16,63,141,78,16,47,62,516,63,125,15,94,93,547,62,16,78,1
31,172,0,250,844,938,16,94,109,32,78,94,78,63,125,47,109,32,93,93,78,63,1
156,0,94,171,171,16,47,62,63,62,63,156,78,375,156,47,63,16,78,78,31,125,1
62,16,94,47,110,31,375,78,94,109,47,93,16,78,78,47,16,109,0,94,15,94,1
47,31,62,171,94,31,15,140,62,125,109,125,0,375,156,47,63,16,78,78,31,125,1
125,15,110,78,78,203,63,187,141,0,78,78,94,63,94,78,93,16,78,93,32,62,1
187,16,78,63,0,0,63,125,94,63,78,93,94,110,110,93,94,93,32,94,31,78,1
78,31,78,78,94,171,15,94,109,16,62,79,110,63,94,78,93,16,78,93,32,62,1
125,172,94,78,78,110,78,110,125,140,63,62,125,110,47,156,94,265,94,93,94,78,1
110,359,94,93,94,78,110,610,62,328,63,109,141,63,78,109,156,94,140,110,125,93,1
94,313,93,78,93,250,78,156,94,187,78,109,94,110,47,156,94,265,94,93,94,78,1
63,94,93,156,156,31,63,62,78,125,78,141,47,73,78,31,79,15,110,62,31,63,1
62,16,47,47,0,594,73,16,62,125,78,78,78,63,140,0,47,110,62,63,31,78,1
78,31,31,156,0,16,62,15,94,31,63,78,703,73,78,31,79,15,110,62,31,63,1
109,16,110,438,438,31,94,94,78,31,94,110,140,78,109,125,109,16,78,78,0,94,1
94,0,109,78,0,32,78,78,31,78,15,63,109,78,125,31,687,94,78,78,31,94,1
78,109,32,438,0,31,78,46,110,31,94,0,94,78,109,125,109,16,78,78,0,94,1
125,31,110,594,594,47,94,93,78,141,62,125,109,78,47,62,125,16,93,78,32,93,1
93,16,94,78,125,31,78,109,32,110,0,78,110,62,125,62,172,78,94,94,47,93,1
156,16,94,594,234,16,94,109,125,78,94,109,94,78,47,62,125,16,93,78,32,93,1
62,63,93,63,63,171,63,172,62,32,78,78,78,93,78,78,78,172,78,46,79,78,1
172,15,93,47,47,31,93,125,78,15,63,78,63,63,78,94,125,62,47,62,63,78,1
62,0,63,63,46,47,94,109,62,16,62,62,79,93,78,78,78,172,78,46,79,78,1
93,547,156,225,225,40,63,78,63,47,78,15,140,109,78,63,47,15,62,94,47,94,1
78,16,109,62,609,734,109,172,79,93,32,109,47,78,79,78,110,94,78,15,62,47,1
78,78,78,225,0,47,93,62,94,31,172,47,109,109,78,63,47,15,62,94,47,94,1
63,15,63,140,140,188,31,62,63,578,94,78,125,141,78,94,47,78,62,93,63,62,1
62,78,125,78,125,207,141,156,94,78,47,94,94,63,78,125,93,110,78,94,31,94,1
62,31,47,140,47,687,78,94,125,453,78,63,766,141,78,94,47,78,62,93,63,62,1
78,47,94,380,380,47,79,62,47,16,62,94,94,63,125,32,47,15,78,62,16,78,1
62,31,78,78,0,47,63,15,62,31,32,78,94,63,312,63,62,94,141,78,31,79,1
63,0,62,380,125,140,63,94,62,0,32,76,922,63,125,32,47,15,78,62,16,78,1
78,94,94,79,79,250,62,63,47,141,62,62,125,63,63,93,63,125,62,62,110,78,1
63,47,78,62,94,125,63,172,78,78,63,78,125,63,78,110,110,62,78,63,47,78,1
63,78,78,79,78,172,62,125,63,125,83,47,78,63,63,93,63,125,62,62,110,78,1
126,31,125,172,172,31,110,125,94,16,93,109,109,453,140,47,32,46,79,78,32,78,1
125,46,125,78,110,125,453,47,31,63,31,94,125,78,829,31,109,78,110,157,31,109,1
141,0,62,172,172,93,31,15,94,78,94,94,141,453,140,47,32,46,79,78,32,78,1
62,78,110,62,62,94,62,94,78,31,94,93,94,110,78,94,141,0,78,78,62,63,1
94,0,78,52,78,94,110,141,63,62,31,47,297,63,62,110,141,94,15,78,47,78,1
94,47,31,62,79,78,16,31,94,47,78,109,62,110,78,94,141,0,78,78,62,63,1
125,16,94,78,78,31,94,156,110,31,78,109,31,62,78,110,93,125,110,78,32,125,1
156,16,62,78,0,31,62,313,156,31,125,78,141,63,62,94,125,94,235,62,235,125,1
109,31,125,78,0,0,0,78,156,16,94,78,78,62,78,110,93,125,110,78,32,125,1
125,16,109,203,203,47,31,47,31,63,31,47,297,94,157,31,31,31,47,78,16,62,1
47,78,16,0,1469,140,94,63,0,62,156,125,32,78,0,47,78,156,16,63,31,94,1
16,79,31,203,141,15,125,47,125,719,109,78,0,94,157,31,31,31,47,78,16,62,1
141,62,110,78,78,249,78,109,78,344,407,78,94,93,94,140,78,47,109,78,109,94,1
109,63,93,78,62,204,93,172,78,172,78,109,125,93,94,172,213,94,110,94,125,93,1
110,0,78,78,1109,63,32,157,94,203,78,78,88,93,94,140,78,47,109,78,109,94,1
156,47,47,110,110,15,31,15,78,16,110,94,62,79,63,47,63,31,63,46,109,78,1
15,63,31,31,141,0,79,31,16,78,48,46,32,63,16,78,31,109,31,16,109,16,1
63,15,16,110,438,125,93,47,625,32,79,93,0,79,63,47,63,31,63,46,109,78,1
156,16,125,157,157,156,109,125,110,94,93,218,16,63,94,203,47,157,171,141,15,94,1
125,110,109,47,172,0,63,500,125,125,110,297,47,62,16,141,47,172,78,125,63,93,1
250,110,531,157,94,156,94,125,141,140,78,110,0,63,94,203,47,157,171,141,15,94,1
125,93,125,125,125,78,94,141,109,63,93,78,157,94,125,94,109,110,93,109,62,79,1
141,78,125,109,109,32,94,140,110,140,94,109,125,78,156,47,187,94,453,109,94,94,1
109,16,94,125,125,47,47,94,125,110,78,110,94,94,125,94,109,110,93,109,62,79,1
78,63,109,94,94,219,78,109,78,109,63,94,109,78,78,110,94,46,63,110,62,94,1
109,32,62,78,94,187,78,125,110,15,63,94,125,47,94,93,125,63,109,78,109,63,1
78,78,63,94,110,234,15,63,93,0,63,94,78,78,78,110,94,46,63,110,62,94,1
93,47,110,156,156,32,172,94,94,31,109,141,93,94,250,31,125,16,114,125,0,109,1
94,16,109,63,110,78,94,47,62,109,78,94,94,93,125,93,110,93,110,78,0,125,1
250,0,62,156,125,79,16,0,141,15,94,94,109,94,250,31,125,16,114,125,0,109,1
125,15,78,141,141,62,78,78,78,63,78,140,47,63,62,140,109,78,16,110,62,156,1
78,15,94,63,0,15,63,110,78,78,0,172,47,63,78,93,31,109,187,94,31,78,1
78,31,94,141,187,0,94,47,140,63,62,78,0,63,62,140,109,78,16,110,62,156,1
93,47,94,203,203,15,78,172,125,16,94,78,109,125,94,78,141,94,78,109,31,110,1
172,16,78,78,156,16,125,94,109,0,94,94,94,79,109,63,375,78,109,78,15,78,1
62,110,15,203,0,47,32,16,47,16,172,78,94,125,94,78,141,94,78,109,31,110,1
94,78,125,203,203,78,78,500,125,47,110,110,93,125,109,63,109,110,93,94,47,78,1
500,15,156,62,0,15,125,609,46,109,78,110,94,94,78,110,94,94,172,78,31,94,1
93,375,79,203,0,47,78,141,141,31,110,78,109,125,109,63,109,110,93,94,47,78,1
156,47,78,78,78,32,47,78,15,47,31,78,78,62,47,125,62,47,63,0,78,16,1
78,156,32,16,531,625,62,172,47,79,31,31,47,62,94,0,47,109,31,31,62,0,1
