@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,4,5,7,8,9,10,11,15,16,17,18,19,23,24,25,26,27,29,39,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
93,93,125,94,125,15,125,344,125,78,94,172,31,140,78,141,15,62,94,94,62,94,1
234,62,94,110,0,15,188,109,94,297,235,297,31,141,93,282,109,94,141,93,32,109,1
62,109,78,109,109,16,47,63,63,94,94,109,16,31,94,47,125,15,78,62,32,78,1
63,94,78,31,0,15,63,15,93,78,62,94,47,94,109,78,110,62,31,63,47,94,1
78,62,16,109,125,16,16,79,78,94,94,109,16,31,94,47,125,94,46,62,32,78,1
141,82,102,91,91,259,78,16,125,156,78,110,94,187,110,343,125,110,31,94,15,125,1
109,62,94,63,78,172,16,110,16,79,93,94,125,78,125,125,250,110,15,156,15,109,1
125,110,109,91,94,223,16,78,171,156,78,110,94,187,110,343,125,109,16,94,15,125,1
94,78,78,63,63,62,32,46,31,78,79,63,109,140,78,16,62,79,15,15,47,16,1
78,62,125,62,515,63,31,79,15,63,125,78,79,78,109,172,15,63,47,109,16,79,1
140,63,78,63,94,62,172,16,110,78,79,63,109,140,78,16,62,79,78,15,47,16,1
125,94,63,78,78,125,16,63,125,265,78,141,46,32,62,32,109,41,65,78,15,63,1
172,78,63,94,78,125,116,41,63,31,79,156,47,94,126,46,219,47,63,78,47,46,1
94,47,78,78,62,125,31,62,94,265,78,141,46,32,62,32,109,46,47,78,15,63,1
78,110,78,141,141,16,16,94,109,47,94,94,125,78,187,16,94,109,32,79,78,62,1
203,125,94,62,172,15,63,109,78,63,79,78,110,78,110,93,32,78,16,94,31,63,1
78,78,110,141,125,109,15,63,63,47,94,94,125,78,187,16,94,63,62,79,78,62,1
62,78,47,62,62,141,110,78,78,78,79,79,140,47,63,15,78,47,94,78,16,62,1
78,62,94,93,78,157,203,47,78,47,47,109,94,62,125,47,78,47,47,63,47,78,1
63,47,62,62,63,140,31,63,63,78,79,79,140,47,63,15,78,78,62,78,16,62,1
94,93,47,328,328,62,78,125,422,62,344,140,234,63,47,125,78,62,125,78,31,94,1
313,32,110,31,0,62,235,62,359,62,78,16,93,63,94,78,62,156,16,62,281,79,1
78,156,78,328,0,63,141,62,94,62,344,140,234,63,47,125,78,79,31,78,31,94,1
93,93,78,94,94,47,218,47,79,78,78,63,140,94,78,828,78,78,297,63,219,78,1
63,62,62,62,93,63,250,78,93,62,62,78,140,78,94,62,344,94,484,78,204,62,1
62,94,62,94,141,203,375,47,62,78,78,63,140,94,78,828,78,62,375,63,219,78,1
93,93,94,250,250,63,46,0,187,78,63,125,47,63,109,32,93,47,78,93,78,63,1
78,94,109,78,125,16,16,47,62,63,63,125,15,78,94,93,547,0,78,62,16,78,1
