@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,4,5,8,9,11,14,16,17,18,19,23,24,25,26,27,29,38,39,43'

@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
78,78,62,78,62,47,78,187,78,62,47,47,78,62,63,204,46,79,78,78,63,78,1
78,47,63,78,94,78,78,47,78,78,78,94,78,63,78,62,78,78,78,63,31,62,1
125,94,94,63,125,125,125,47,31,94,16,62,141,78,157,203,16,78,109,125,16,109,1
47,62,16,109,78,156,125,31,109,109,94,93,94,94,62,79,62,47,109,78,47,124,1
109,78,31,63,125,156,172,47,125,78,16,62,141,78,157,203,16,78,124,125,16,109,1
141,94,94,93,94,94,31,94,16,4,15,78,16,79,62,672,31,78,15,16,110,31,1
15,94,63,110,94,532,32,141,15,172,62,62,78,32,141,671,47,125,15,78,16,78,1
15,15,16,93,94,563,32,78,16,72,15,78,16,79,62,672,31,78,78,16,110,31,1
125,94,94,62,125,125,16,16,62,78,15,78,94,31,47,93,16,94,16,94,15,78,1
78,78,62,78,62,0,47,47,16,63,46,47,94,16,109,78,109,94,391,62,32,62,1
391,31,62,62,125,93,78,31,93,77,15,78,94,31,47,93,16,94,62,94,15,78,1
110,109,109,78,78,78,78,16,62,109,31,93,94,78,109,94,31,109,94,78,16,94,1
78,47,93,109,78,156,266,16,94,93,62,79,75,86,93,78,93,47,62,93,16,109,1
62,78,62,78,78,94,109,16,62,110,31,93,94,78,109,94,31,109,109,78,16,94,1
157,63,63,62,156,156,78,204,78,140,219,78,31,141,62,15,94,484,62,78,32,93,1
94,78,79,250,31,0,79,31,62,31,78,78,15,94,109,125,78,62,93,31,78,47,1
93,94,78,62,156,0,141,32,78,78,219,78,31,141,62,15,94,484,47,78,32,93,1
63,47,47,16,78,78,31,63,78,78,47,93,172,15,63,78,16,125,110,63,15,79,1
110,94,94,110,79,0,78,15,110,62,78,78,78,15,78,93,94,16,32,47,31,94,1
32,78,78,16,78,125,125,16,78,78,47,93,172,15,63,78,16,125,94,63,15,79,1
125,94,94,78,235,235,94,47,63,78,156,110,156,47,125,109,125,62,63,62,16,94,1
125,94,94,78,78,94,109,109,63,62,79,62,203,31,109,31,141,343,156,62,32,93,1
156,46,63,78,235,0,109,110,93,78,156,110,156,47,125,109,125,62,93,62,16,94,1
94,78,78,63,94,94,78,16,94,78,31,62,78,47,78,109,156,110,32,94,31,78,1
78,78,78,47,62,94,79,265,32,62,47,62,156,63,125,78,94,156,62,125,16,94,1
62,93,94,63,94,78,63,15,93,110,31,62,78,47,78,109,156,110,94,94,31,78,1
109,94,94,93,110,110,62,16,63,79,656,63,32,78,79,766,782,15,47,15,62,47,1
78,32,93,78,62,640,63,94,47,16,78,141,110,15,93,832,62,32,15,15,62,31,1
15,94,63,93,110,0,125,16,47,62,656,63,32,78,79,766,782,15,31,15,62,47,1
93,78,78,63,78,78,78,94,78,94,31,62,63,93,63,78,0,94,15,110,15,78,1
94,62,204,110,93,47,219,78,15,15,63,62,63,94,62,78,93,32,78,94,31,78,1
78,47,78,63,78,94,234,15,62,78,31,62,63,93,63,78,0,94,78,110,15,78,1
94,78,78,94,125,125,78,109,172,94,94,78,94,94,203,94,78,78,94,78,78,78,1
125,110,110,93,78,0,93,93,94,47,172,79,265,78,110,156,109,16,94,109,813,125,1
94,93,172,94,125,891,172,78,78,156,94,78,94,94,203,94,78,78,125,78,78,78,1
78,78,78,94,94,94,94,15,79,94,109,94,94,125,78,78,594,125,78,93,47,78,1
78,78,109,110,78,94,94,31,78,62,63,109,94,78,78,109,78,63,78,78,47,94,1
78,94,79,94,94,94,94,31,78,78,109,94,94,125,78,78,594,125,94,93,47,78,1
109,93,93,141,390,390,110,93,219,109,46,985,203,62,141,47,172,359,125,78,110,109,1
297,109,594,172,31,0,187,125,125,94,94,109,16,110,78,157,282,15,344,156,313,391,1
344,78,219,141,390,0,140,187,94,94,46,985,203,62,141,47,172,359,391,78,110,109,1
110,141,141,94,156,156,93,31,110,94,78,234,234,63,157,109,94,63,62,94,203,140,1
94,156,128,94,62,0,125,94,62,641,78,78,156,47,109,141,78,140,32,78,63,109,1
32,94,110,94,156,125,94,62,109,94,78,234,234,63,157,109,94,63,109,94,203,140,1
93,94,94,62,110,110,110,109,79,125,297,235,297,31,141,93,282,109,344,93,32,109,1
93,125,93,94,94,125,141,125,344,125,78,94,172,31,140,78,141,15,62,94,62,94,1
62,94,79,62,110,0,109,188,109,94,297,235,297,31,141,93,282,109,94,93,32,109,1
109,78,78,63,109,109,62,47,63,63,94,94,109,16,31,94,47,125,15,62,32,78,1
94,78,79,78,31,0,62,63,15,93,78,62,94,47,94,109,78,110,62,63,47,94,1
62,16,63,63,109,125,63,16,79,78,94,94,109,16,31,94,47,125,94,62,32,78,1
82,102,102,118,91,91,144,78,16,125,156,78,110,94,187,110,343,125,110,94,15,125,1
62,94,16,110,63,78,94,16,110,16,79,93,94,125,78,125,125,250,110,156,15,109,1
110,109,16,118,91,94,125,16,78,171,156,78,110,94,187,110,343,125,109,94,15,125,1
78,78,78,94,63,63,63,32,46,31,78,79,63,109,140,78,16,62,79,15,47,16,1
62,125,156,78,62,515,78,31,79,15,63,125,78,79,78,109,172,15,63,109,16,79,1
63,78,46,94,63,94,79,172,16,110,78,79,63,109,140,78,16,62,79,15,47,16,1
94,63,63,109,78,78,47,16,63,125,265,78,141,46,32,62,32,109,41,78,15,63,1
78,63,62,94,94,78,203,116,41,63,31,79,156,47,94,126,46,219,47,78,47,46,1
47,78,63,109,78,62,110,31,62,94,265,78,141,46,32,62,32,109,46,78,15,63,1
110,78,78,78,141,141,125,16,94,109,47,94,94,125,78,187,16,94,109,79,78,62,1
125,94,32,78,62,172,94,63,109,78,63,79,78,110,78,110,93,32,78,94,31,63,1
78,110,94,78,141,125,125,15,63,63,47,94,94,125,78,187,16,94,63,79,78,62,1
78,47,47,63,62,62,62,110,78,78,78,79,79,140,47,63,15,78,47,78,16,62,1
62,94,78,62,93,78,62,203,47,78,47,47,109,94,62,125,47,78,47,63,47,78,1
47,62,78,63,62,63,78,31,63,63,78,79,79,140,47,63,15,78,78,78,16,62,1
93,47,47,78,328,328,172,78,125,422,62,344,140,234,63,47,125,78,62,78,31,94,1
32,110,141,46,31,0,172,235,62,359,62,78,16,93,63,94,78,62,156,62,281,79,1
156,78,125,78,328,0,172,141,62,94,62,344,140,234,63,47,125,78,79,78,31,94,1
93,78,78,78,94,94,94,218,47,79,78,78,63,140,94,78,828,78,78,63,219,78,1
62,62,78,62,62,93,109,250,78,93,62,62,78,140,78,94,62,344,94,78,204,62,1
94,62,47,78,94,141,109,375,47,62,78,78,63,140,94,78,828,78,62,63,219,78,1
93,94,94,62,250,250,63,46,0,187,78,63,125,47,63,109,32,93,47,93,78,63,1
94,109,62,78,78,125,63,16,47,62,63,63,125,15,78,94,93,547,0,62,16,78,1
0,78,0,62,250,844,31,32,78,94,78,63,125,47,63,109,32,93,78,93,78,63,1
94,93,93,109,171,171,109,62,63,156,31,375,156,47,78,63,16,78,47,78,31,125,1
94,16,63,94,47,110,109,109,47,93,63,78,78,47,125,16,109,0,62,94,15,94,1
62,93,63,109,171,94,125,125,109,125,31,375,156,47,78,63,16,78,94,78,31,125,1
110,78,78,93,78,78,63,0,78,78,141,63,94,78,94,93,16,78,78,93,32,62,1
78,63,94,78,63,0,94,63,78,93,234,110,110,93,78,94,93,32,78,94,31,78,1
78,62,78,93,78,94,63,16,62,79,141,63,94,78,94,93,16,78,78,93,32,62,1
94,109,109,109,78,78,78,140,63,62,94,110,47,156,79,94,265,94,63,93,94,78,1
94,78,78,78,93,94,78,328,63,109,93,63,78,109,79,156,94,140,93,110,125,93,1
93,78,63,109,78,93,94,187,78,109,94,110,47,156,79,94,265,94,93,93,94,78,1
93,47,47,63,156,156,63,125,78,141,78,73,78,31,125,79,15,110,78,62,31,63,1
47,47,63,47,47,0,656,125,78,78,62,63,140,0,63,47,110,62,31,63,31,78,1
31,63,78,63,156,0,94,31,63,78,78,73,78,31,125,79,15,110,78,62,31,63,1
110,109,109,47,438,438,46,31,94,110,94,78,109,125,109,109,16,78,15,78,0,94,1
109,110,78,78,78,0,46,78,15,63,63,78,125,31,62,687,94,78,32,78,31,94,1
32,93,94,47,438,0,94,31,94,0,94,78,109,125,109,109,16,78,94,78,0,94,1
110,125,125,93,594,594,140,141,62,125,47,78,47,62,109,125,16,93,0,78,32,93,1
94,125,78,109,78,125,141,110,0,78,62,62,125,62,125,172,78,94,94,94,47,93,1
94,63,62,93,594,234,109,78,94,109,47,78,47,62,109,125,16,93,93,78,32,93,1
93,47,47,31,63,63,79,32,78,78,63,93,78,78,47,78,172,78,63,46,79,78,1
93,47,78,79,47,47,94,15,63,78,62,63,78,94,63,125,62,47,63,62,63,78,1
63,63,78,31,63,46,94,16,62,62,63,93,78,78,47,78,172,78,78,46,79,78,1
156,172,172,79,225,225,110,47,78,15,47,109,78,63,93,47,15,62,32,94,47,94,1
109,109,109,78,62,609,0,93,32,109,78,78,79,78,172,110,94,78,78,15,62,47,1
78,47,78,79,225,0,141,31,172,47,47,109,78,63,93,47,15,62,47,94,47,94,1
63,63,63,93,140,140,109,578,94,78,47,141,78,94,188,47,78,62,47,93,63,62,1
125,63,94,79,78,125,109,78,47,94,47,63,78,125,62,93,110,78,47,94,31,94,1
47,63,94,93,140,47,94,453,78,63,47,141,78,94,188,47,78,62,94,93,63,62,1
94,78,78,40,380,380,125,16,62,94,47,63,125,32,0,47,15,78,32,62,16,78,1
78,0,78,78,78,0,125,31,32,78,63,63,312,63,94,62,94,141,62,78,31,79,1
62,78,62,40,380,125,94,0,32,76,47,63,125,32,0,47,15,78,79,62,16,78,1
94,78,78,78,79,79,93,141,62,62,125,63,63,93,63,63,125,62,63,62,110,78,1
78,63,63,63,62,94,125,78,63,78,62,63,78,110,62,110,62,78,78,63,47,78,1
78,47,62,78,79,78,125,125,83,47,125,63,63,93,63,63,125,62,78,62,110,78,1
125,78,78,109,172,172,156,16,93,109,0,453,140,47,63,32,46,79,31,78,32,78,1
125,16,109,125,78,110,156,63,31,94,93,78,829,31,93,109,78,110,62,157,31,109,1
62,110,93,109,172,172,157,78,94,94,0,453,140,47,63,32,46,79,109,78,32,78,1
110,78,78,63,62,62,94,31,94,93,32,110,78,94,63,141,0,78,31,78,62,63,1
78,16,47,78,52,78,188,62,31,47,78,63,62,110,62,141,94,15,31,78,47,78,1
31,94,94,63,62,79,78,47,78,109,32,110,78,94,63,141,0,78,78,78,62,63,1
94,78,78,93,78,78,94,31,78,109,78,62,78,110,78,93,125,110,125,78,32,125,1
62,78,109,78,78,0,109,31,125,78,78,63,62,94,62,125,94,235,125,62,235,125,1
125,78,78,93,78,0,94,16,94,78,78,62,78,110,78,93,125,110,125,78,32,125,1
109,125,125,47,203,203,62,63,31,47,16,94,157,31,62,31,31,47,156,78,16,62,1
16,63,31,344,0,1469,31,62,156,125,78,78,0,47,63,78,156,16,31,63,31,94,1
31,62,31,47,203,141,125,719,109,78,16,94,157,31,62,31,31,47,94,78,16,62,1
110,94,94,78,78,78,88,344,407,78,234,93,94,140,79,78,47,109,78,78,109,94,1
93,94,109,62,78,62,78,172,78,109,281,93,94,172,78,213,94,110,78,94,125,93,1
78,78,407,78,78,1109,250,203,78,78,234,93,94,140,79,78,47,109,93,78,109,94,1
47,140,140,78,110,110,110,16,110,94,63,79,63,47,15,63,31,63,48,46,109,78,1
31,46,93,15,31,141,94,78,48,46,31,63,16,78,62,31,109,31,16,16,109,16,1
16,32,110,78,110,438,31,32,79,93,63,79,63,47,15,63,31,63,16,46,109,78,1
125,109,109,187,157,157,94,94,93,218,94,63,94,203,63,47,157,171,110,141,15,94,1
109,94,94,78,47,172,172,125,110,297,93,62,16,141,62,47,172,78,531,125,63,93,1
531,125,93,187,157,94,110,140,78,110,94,63,94,203,63,47,157,171,93,141,15,94,1
125,94,94,94,125,125,125,63,93,78,94,94,125,94,78,109,110,93,94,109,62,79,1
125,94,94,94,109,109,171,140,94,109,47,78,156,47,110,187,94,453,94,109,94,94,1
94,78,93,94,125,125,141,110,78,110,94,94,125,94,78,109,110,93,94,109,62,79,1
109,63,63,78,94,94,98,109,63,94,93,78,78,110,46,94,46,63,63,110,62,94,1
62,47,62,94,78,94,78,15,63,94,78,47,94,93,78,125,63,109,63,78,109,63,1
63,62,63,78,94,110,78,0,63,94,93,78,78,110,46,94,46,63,63,110,62,94,1
110,171,171,94,156,156,140,31,109,141,15,94,250,31,125,125,16,114,78,125,0,109,1
109,63,110,125,63,110,187,109,78,94,62,93,125,93,94,110,93,110,62,78,0,125,1
62,125,109,94,156,125,140,15,94,94,15,94,250,31,125,125,16,114,125,125,0,109,1
78,78,78,78,141,141,125,63,78,140,47,63,62,140,63,109,78,16,0,110,62,156,1
