@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,4,5,7,8,10,14,16,17,18,22,23,24,25,26,27,33,35,38,39,40,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
63,94,78,31,63,31,0,62,78,63,15,78,63,62,94,47,109,110,62,47,94,1
78,62,16,47,15,109,125,63,62,16,79,94,47,94,109,16,94,125,94,32,78,1
141,82,102,118,53,91,91,144,31,78,16,156,47,78,110,94,110,125,110,15,125,1
109,62,94,63,15,63,78,94,219,16,110,79,78,93,94,125,125,250,110,15,109,1
125,110,109,532,53,91,94,125,156,16,78,156,47,78,110,94,110,125,109,15,125,1
94,78,78,94,15,63,63,63,62,32,46,78,15,79,63,109,78,62,79,47,16,1
78,62,125,78,79,62,515,78,78,31,79,63,62,125,78,79,109,15,63,16,79,1
140,63,78,78,15,63,94,79,110,172,16,78,15,79,63,109,78,62,79,47,16,1
125,94,63,109,63,78,78,47,46,16,63,265,79,78,141,46,62,109,41,15,63,1
172,78,63,78,31,94,78,203,172,116,41,31,62,79,156,47,126,219,47,47,46,1
94,47,78,94,63,78,62,110,32,31,62,265,79,78,141,46,62,109,46,15,63,1
78,110,78,78,156,141,141,125,78,16,94,47,63,94,94,125,187,94,109,78,62,1
203,125,94,110,16,62,172,94,109,63,109,63,93,79,78,110,110,32,78,31,63,1
78,78,110,78,156,141,125,125,94,15,63,47,63,94,94,125,187,94,63,78,62,1
62,78,47,63,47,62,62,62,62,110,78,78,62,79,79,140,63,78,47,16,62,1
78,62,94,63,32,93,78,62,94,203,47,47,109,47,109,94,125,78,47,47,78,1
63,47,62,62,47,62,63,78,78,31,63,78,62,79,79,140,63,78,78,16,62,1
94,93,47,78,250,328,328,172,47,78,125,62,78,344,140,234,47,78,62,31,94,1
313,32,110,157,79,31,0,172,140,235,62,62,78,78,16,93,94,62,156,281,79,1
78,156,78,15,250,328,0,172,109,141,62,62,78,344,140,234,47,78,79,31,94,1
93,93,78,78,234,94,94,94,63,218,47,78,78,78,63,140,78,78,78,219,78,1
63,62,62,63,188,62,93,109,78,250,78,62,94,62,78,140,94,344,94,204,62,1
62,94,62,62,234,94,141,109,78,375,47,78,78,78,63,140,78,78,62,219,78,1
93,93,94,62,110,250,250,63,125,46,0,78,78,63,125,47,109,93,47,78,63,1
78,94,109,78,31,78,125,63,78,16,47,63,93,63,125,15,94,547,0,16,78,1
31,0,78,78,110,250,844,31,109,32,78,78,78,63,125,47,109,93,78,78,63,1
156,94,93,109,32,171,171,109,63,62,63,31,47,375,156,47,63,78,47,31,125,1
62,94,16,47,93,47,110,109,94,109,47,63,78,78,78,47,16,0,62,15,94,1
47,62,93,78,32,171,94,125,62,125,109,31,47,375,156,47,63,78,94,31,125,1
125,110,78,93,94,78,78,63,141,0,78,141,109,63,94,78,93,78,78,32,62,1
187,78,63,63,31,63,0,94,94,63,78,234,328,110,110,93,94,32,78,31,78,1
78,78,62,78,94,78,94,63,109,16,62,141,109,63,94,78,93,78,78,32,62,1
125,94,109,109,250,78,78,78,125,140,63,94,78,110,47,156,94,94,63,94,78,1
110,94,78,78,219,93,94,78,62,328,63,93,94,63,78,109,156,140,93,125,93,1
94,93,78,94,250,78,93,94,94,187,78,94,78,110,47,156,94,94,93,94,78,1
63,93,47,63,93,156,156,63,78,125,78,78,56,73,78,31,79,110,78,31,63,1
