@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,6,7,8,13,15,16,17,18,20,21,22,23,24,25,26,27,28,29,32,34,38,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute ft5 numeric
@attribute dtfk7 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
78,47,62,63,62,32,93,157,94,47,109,62,47,78,47,47,78,1
63,125,47,62,63,47,62,140,78,79,79,47,15,78,78,16,62,1
94,141,93,78,78,250,328,62,47,344,140,63,125,78,62,31,94,1
313,109,32,157,46,79,31,62,140,78,16,63,78,62,156,281,79,1
78,78,156,15,78,250,328,63,109,344,140,63,125,78,79,31,94,1
93,282,93,78,78,234,94,47,63,78,63,94,828,78,78,219,78,1
63,297,62,63,62,188,62,63,78,62,78,78,62,344,94,204,62,1
62,797,94,62,78,234,94,203,78,78,63,94,828,78,62,219,78,1
93,32,93,62,62,110,250,63,125,63,125,63,32,93,47,78,63,1
78,16,94,78,78,31,78,16,78,63,125,78,93,547,0,16,78,1
31,172,0,78,62,110,250,938,109,63,125,63,32,93,78,78,63,1
156,0,94,109,109,32,171,16,63,375,156,78,16,78,47,31,125,1
62,16,94,47,94,93,47,31,94,78,78,125,109,0,62,15,94,1
47,31,62,78,109,32,171,31,62,375,156,78,16,78,94,31,125,1
125,15,110,93,93,94,78,203,141,63,94,94,16,78,78,32,62,1
187,16,78,63,78,31,63,0,94,110,110,78,93,32,78,31,78,1
78,31,78,78,93,94,78,171,109,63,94,94,16,78,78,32,62,1
125,172,94,109,109,250,78,110,125,110,47,79,265,94,63,94,78,1
110,359,94,78,78,219,93,78,62,63,78,79,94,140,93,125,93,1
94,313,93,94,109,250,78,250,94,110,47,79,265,94,93,94,78,1
63,94,93,63,63,93,156,31,78,73,78,125,15,110,78,31,63,1
62,16,47,63,47,16,47,594,62,63,140,63,110,62,31,31,78,1
78,31,31,62,63,93,156,16,94,73,78,125,15,110,78,31,63,1
109,16,110,47,47,391,438,31,78,78,109,109,16,78,15,0,94,1
94,0,109,94,78,141,78,32,31,78,125,62,94,78,32,31,94,1
78,109,32,78,47,391,438,31,110,78,109,109,16,78,94,0,94,1
125,31,110,93,93,485,594,47,78,78,47,109,16,93,0,32,93,1
93,16,94,94,109,47,78,31,32,62,125,125,78,94,94,47,93,1
156,16,94,94,93,485,594,16,125,78,47,109,16,93,93,32,93,1
62,63,93,31,31,125,63,171,62,93,78,47,172,78,63,79,78,1
