@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,4,5,6,7,9,10,11,17,18,21,22,24,25,26,27,30,38,39,42,43'

@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft3 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
32,93,16,94,125,15,141,235,16,125,125,78,94,172,31,140,78,141,15,62,94,62,1
141,62,31,110,0,15,109,16,125,188,156,297,78,297,31,141,93,282,109,94,93,32,1
32,109,94,109,109,16,62,31,46,47,93,94,47,109,16,31,94,47,125,15,62,32,1
15,94,15,31,0,15,62,94,78,63,110,78,63,94,47,94,109,78,110,62,63,47,1
63,62,47,109,125,16,63,16,62,16,125,94,47,109,16,31,94,47,125,94,62,32,1
15,82,31,91,91,259,144,63,31,78,125,156,47,110,94,187,110,343,125,110,94,15,1
188,62,141,63,78,172,94,78,219,16,94,79,78,94,125,78,125,125,250,110,156,15,1
15,110,93,91,94,223,125,16,156,16,125,156,47,110,94,187,110,343,125,109,94,15,1
31,78,16,63,63,62,63,78,62,32,93,78,15,63,109,140,78,16,62,79,15,47,1
16,62,32,62,515,63,78,79,78,31,47,63,62,78,79,78,109,172,15,63,109,16,1
31,63,16,63,94,62,79,31,110,172,78,78,15,63,109,140,78,16,62,79,15,47,1
62,94,78,78,78,125,47,78,46,16,78,265,79,141,46,32,62,32,109,41,78,15,1
16,78,63,94,78,125,203,78,172,116,141,31,62,156,47,94,126,46,219,47,78,47,1
31,47,15,78,62,125,110,78,32,31,62,265,79,141,46,32,62,32,109,46,78,15,1
62,110,31,141,141,16,125,110,78,16,110,47,63,94,125,78,187,16,94,109,79,78,1
31,125,218,62,172,15,94,94,109,63,94,63,93,78,110,78,110,93,32,78,94,31,1
47,78,31,141,125,109,125,47,94,15,93,47,63,94,125,78,187,16,94,63,79,78,1
32,78,46,62,62,141,62,63,62,110,110,78,62,79,140,47,63,15,78,47,78,16,1
47,62,78,93,78,157,62,79,94,203,156,47,109,109,94,62,125,47,78,47,63,47,1
125,47,47,62,63,140,78,46,78,31,78,78,62,79,140,47,63,15,78,78,78,16,1
141,93,47,328,328,62,172,157,47,78,47,62,78,140,234,63,47,125,78,62,78,31,1
109,32,62,31,0,62,172,344,140,235,515,62,78,16,93,63,94,78,62,156,62,281,1
78,156,78,328,0,63,172,47,109,141,125,62,78,140,234,63,47,125,78,79,78,31,1
282,93,891,94,94,47,94,63,63,218,109,78,78,63,140,94,78,828,78,78,63,219,1
297,62,250,62,93,63,109,78,78,250,47,62,94,78,140,78,94,62,344,94,78,204,1
797,94,235,94,141,203,109,219,78,375,78,78,78,63,140,94,78,828,78,62,63,219,1
32,93,78,250,250,63,63,78,125,46,266,78,78,125,47,63,109,32,93,47,93,78,1
16,94,47,78,125,16,63,63,78,16,516,63,93,125,15,78,94,93,547,0,62,16,1
172,0,16,250,844,938,31,16,109,32,78,78,78,125,47,63,109,32,93,78,93,78,1
0,94,16,171,171,16,109,47,63,62,78,31,47,156,47,78,63,16,78,47,78,31,1
16,94,47,47,110,31,109,375,94,109,16,63,78,78,47,125,16,109,0,62,94,15,1
31,62,62,171,94,31,125,15,62,125,0,31,47,156,47,78,63,16,78,94,78,31,1
15,110,63,78,78,203,63,63,141,0,94,141,109,94,78,94,93,16,78,78,93,32,1
16,78,62,63,0,0,94,63,94,63,94,234,328,110,93,78,94,93,32,78,94,31,1
31,78,63,78,94,171,63,15,109,16,110,141,109,94,78,94,93,16,78,78,93,32,1
172,94,110,78,78,110,78,78,125,140,125,94,78,47,156,79,94,265,94,63,93,94,1
359,94,110,93,94,78,78,110,62,328,141,93,94,78,109,79,156,94,140,93,110,125,1
313,93,15,78,93,250,94,78,94,187,94,94,78,47,156,79,94,265,94,93,93,94,1
94,93,47,156,156,31,63,63,78,125,47,78,56,78,31,125,79,15,110,78,62,31,1
16,47,62,47,0,594,656,73,62,125,78,62,78,140,0,63,47,110,62,31,63,31,1
31,31,32,156,0,16,94,62,94,31,703,78,56,78,31,125,79,15,110,78,62,31,1
16,110,78,438,438,31,46,94,78,31,140,94,31,109,125,109,109,16,78,15,78,0,1
