@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,9,11,14,16,17,18,19,20,21,23,24,25,26,27,29,37,38,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
78,62,78,78,141,141,125,109,47,94,94,125,78,187,16,94,78,62,1
203,31,32,78,62,172,94,78,63,79,78,110,78,110,93,32,31,63,1
78,47,94,78,141,125,125,63,47,94,94,125,78,187,16,94,78,62,1
62,32,47,63,62,62,62,78,78,79,79,140,47,63,15,78,16,62,1
78,47,78,62,93,78,62,78,47,47,109,94,62,125,47,78,47,78,1
63,125,78,63,62,63,78,63,78,79,79,140,47,63,15,78,16,62,1
94,141,47,78,328,328,172,422,62,344,140,234,63,47,125,78,31,94,1
313,109,141,46,31,0,172,359,62,78,16,93,63,94,78,62,281,79,1
78,78,125,78,328,0,172,94,62,344,140,234,63,47,125,78,31,94,1
93,282,78,78,94,94,94,79,78,78,63,140,94,78,828,78,219,78,1
63,297,78,62,62,93,109,93,62,62,78,140,78,94,62,344,204,62,1
62,797,47,78,94,141,109,62,78,78,63,140,94,78,828,78,219,78,1
93,32,94,62,250,250,63,187,78,63,125,47,63,109,32,93,78,63,1
78,16,62,78,78,125,63,62,63,63,125,15,78,94,93,547,16,78,1
31,172,0,62,250,844,31,94,78,63,125,47,63,109,32,93,78,63,1
156,0,93,109,171,171,109,156,31,375,156,47,78,63,16,78,31,125,1
62,16,63,94,47,110,109,93,63,78,78,47,125,16,109,0,15,94,1
47,31,63,109,171,94,125,125,31,375,156,47,78,63,16,78,31,125,1
125,15,78,93,78,78,63,78,141,63,94,78,94,93,16,78,32,62,1
187,16,94,78,63,0,94,93,234,110,110,93,78,94,93,32,31,78,1
78,31,78,93,78,94,63,79,141,63,94,78,94,93,16,78,32,62,1
125,172,109,109,78,78,78,62,94,110,47,156,79,94,265,94,94,78,1
110,359,78,78,93,94,78,109,93,63,78,109,79,156,94,140,125,93,1
94,313,63,109,78,93,94,109,94,110,47,156,79,94,265,94,94,78,1
63,94,47,63,156,156,63,141,78,73,78,31,125,79,15,110,31,63,1
62,16,63,47,47,0,656,78,62,63,140,0,63,47,110,62,31,78,1
78,31,78,63,156,0,94,78,78,73,78,31,125,79,15,110,31,63,1
109,16,109,47,438,438,46,110,94,78,109,125,109,109,16,78,0,94,1
94,0,78,78,78,0,46,63,63,78,125,31,62,687,94,78,31,94,1
78,109,94,47,438,0,94,0,94,78,109,125,109,109,16,78,0,94,1
125,31,125,93,594,594,140,125,47,78,47,62,109,125,16,93,32,93,1
93,16,78,109,78,125,141,78,62,62,125,62,125,172,78,94,47,93,1
156,16,62,93,594,234,109,109,47,78,47,62,109,125,16,93,32,93,1
62,63,47,31,63,63,79,78,63,93,78,78,47,78,172,78,79,78,1
172,15,78,79,47,47,94,78,62,63,78,94,63,125,62,47,63,78,1
62,0,78,31,63,46,94,62,63,93,78,78,47,78,172,78,79,78,1
93,547,172,79,225,225,110,15,47,109,78,63,93,47,15,62,47,94,1
78,16,109,78,62,609,0,109,78,78,79,78,172,110,94,78,62,47,1
78,78,78,79,225,0,141,47,47,109,78,63,93,47,15,62,47,94,1
63,15,63,93,140,140,109,78,47,141,78,94,188,47,78,62,63,62,1
62,78,94,79,78,125,109,94,47,63,78,125,62,93,110,78,31,94,1
62,31,94,93,140,47,94,63,47,141,78,94,188,47,78,62,63,62,1
78,47,78,40,380,380,125,94,47,63,125,32,0,47,15,78,16,78,1
62,31,78,78,78,0,125,78,63,63,312,63,94,62,94,141,31,79,1
63,0,62,40,380,125,94,76,47,63,125,32,0,47,15,78,16,78,1
78,94,78,78,79,79,93,62,125,63,63,93,63,63,125,62,110,78,1
63,47,63,63,62,94,125,78,62,63,78,110,62,110,62,78,47,78,1
63,78,62,78,79,78,125,47,125,63,63,93,63,63,125,62,110,78,1
126,31,78,109,172,172,156,109,0,453,140,47,63,32,46,79,32,78,1
125,46,109,125,78,110,156,94,93,78,829,31,93,109,78,110,31,109,1
141,0,93,109,172,172,157,94,0,453,140,47,63,32,46,79,32,78,1
62,78,78,63,62,62,94,93,32,110,78,94,63,141,0,78,62,63,1
94,0,47,78,52,78,188,47,78,63,62,110,62,141,94,15,47,78,1
94,47,94,63,62,79,78,109,32,110,78,94,63,141,0,78,62,63,1
125,16,78,93,78,78,94,109,78,62,78,110,78,93,125,110,32,125,1
156,16,109,78,78,0,109,78,78,63,62,94,62,125,94,235,235,125,1
109,31,78,93,78,0,94,78,78,62,78,110,78,93,125,110,32,125,1
125,16,125,47,203,203,62,47,16,94,157,31,62,31,31,47,16,62,1
47,78,31,344,0,1469,31,125,78,78,0,47,63,78,156,16,31,94,1
16,79,31,47,203,141,125,78,16,94,157,31,62,31,31,47,16,62,1
141,62,94,78,78,78,88,78,234,93,94,140,79,78,47,109,109,94,1
109,63,109,62,78,62,78,109,281,93,94,172,78,213,94,110,125,93,1
110,0,407,78,78,1109,250,78,234,93,94,140,79,78,47,109,109,94,1
156,47,140,78,110,110,110,94,63,79,63,47,15,63,31,63,109,78,1
15,63,93,15,31,141,94,46,31,63,16,78,62,31,109,31,109,16,1
63,15,110,78,110,438,31,93,63,79,63,47,15,63,31,63,109,78,1
156,16,109,187,157,157,94,218,94,63,94,203,63,47,157,171,15,94,1
125,110,94,78,47,172,172,297,93,62,16,141,62,47,172,78,63,93,1
250,110,93,187,157,94,110,110,94,63,94,203,63,47,157,171,15,94,1
125,93,94,94,125,125,125,78,94,94,125,94,78,109,110,93,62,79,1
141,78,94,94,109,109,171,109,47,78,156,47,110,187,94,453,94,94,1
109,16,93,94,125,125,141,110,94,94,125,94,78,109,110,93,62,79,1
78,63,63,78,94,94,98,94,93,78,78,110,46,94,46,63,62,94,1
109,32,62,94,78,94,78,94,78,47,94,93,78,125,63,109,109,63,1
78,78,63,78,94,110,78,94,93,78,78,110,46,94,46,63,62,94,1
93,47,171,94,156,156,140,141,15,94,250,31,125,125,16,114,0,109,1
94,16,110,125,63,110,187,94,62,93,125,93,94,110,93,110,0,125,1
250,0,109,94,156,125,140,94,15,94,250,31,125,125,16,114,0,109,1
125,15,78,78,141,141,125,140,47,63,62,140,63,109,78,16,62,156,1
