@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,9,11,15,16,17,18,20,22,23,24,25,26,27,29,39,41,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk7 numeric
@attribute dtsk7 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute gender {1,2}

@data
109,188,16,110,63,78,172,219,110,79,93,94,125,78,125,125,250,110,15,156,1
125,15,16,118,91,94,223,156,78,156,78,110,94,187,110,343,125,109,16,94,1
94,31,78,94,63,63,62,62,46,78,79,63,109,140,78,16,62,79,15,15,1
78,16,156,78,62,515,63,78,79,63,125,78,79,78,109,172,15,63,47,109,1
140,31,46,94,63,94,62,110,16,78,79,63,109,140,78,16,62,79,78,15,1
125,62,63,109,78,78,125,46,63,265,78,141,46,32,62,32,109,41,65,78,1
172,16,62,94,94,78,125,172,41,31,79,156,47,94,126,46,219,47,63,78,1
94,31,63,109,78,62,125,32,62,265,78,141,46,32,62,32,109,46,47,78,1
78,62,78,78,141,141,16,78,94,47,94,94,125,78,187,16,94,109,32,79,1
203,31,32,78,62,172,15,109,109,63,79,78,110,78,110,93,32,78,16,94,1
78,47,94,78,141,125,109,94,63,47,94,94,125,78,187,16,94,63,62,79,1
62,32,47,63,62,62,141,62,78,78,79,79,140,47,63,15,78,47,94,78,1
78,47,78,62,93,78,157,94,47,47,47,109,94,62,125,47,78,47,47,63,1
63,125,78,63,62,63,140,78,63,78,79,79,140,47,63,15,78,78,62,78,1
94,141,47,78,328,328,62,47,125,62,344,140,234,63,47,125,78,62,125,78,1
313,109,141,46,31,0,62,140,62,62,78,16,93,63,94,78,62,156,16,62,1
78,78,125,78,328,0,63,109,62,62,344,140,234,63,47,125,78,79,31,78,1
93,282,78,78,94,94,47,63,47,78,78,63,140,94,78,828,78,78,297,63,1
63,297,78,62,62,93,63,78,78,62,62,78,140,78,94,62,344,94,484,78,1
62,797,47,78,94,141,203,78,47,78,78,63,140,94,78,828,78,62,375,63,1
93,32,94,62,250,250,63,125,0,78,63,125,47,63,109,32,93,47,78,93,1
78,16,62,78,78,125,16,78,47,63,63,125,15,78,94,93,547,0,78,62,1
31,172,0,62,250,844,938,109,78,78,63,125,47,63,109,32,93,78,63,93,1
156,0,93,109,171,171,16,63,63,31,375,156,47,78,63,16,78,47,78,78,1
62,16,63,94,47,110,31,94,47,63,78,78,47,125,16,109,0,62,16,94,1
47,31,63,109,171,94,31,62,109,31,375,156,47,78,63,16,78,94,62,78,1
125,15,78,93,78,78,203,141,78,141,63,94,78,94,93,16,78,78,78,93,1
187,16,94,78,63,0,0,94,78,234,110,110,93,78,94,93,32,78,32,94,1
78,31,78,93,78,94,171,109,62,141,63,94,78,94,93,16,78,78,16,93,1
125,172,109,109,78,78,110,125,63,94,110,47,156,79,94,265,94,63,422,93,1
110,359,78,78,93,94,78,62,63,93,63,78,109,79,156,94,140,93,547,110,1
94,313,63,109,78,93,250,94,78,94,110,47,156,79,94,265,94,93,203,93,1
63,94,47,63,156,156,31,78,78,78,73,78,31,125,79,15,110,78,78,62,1
62,16,63,47,47,0,594,62,78,62,63,140,0,63,47,110,62,31,47,63,1
78,31,78,63,156,0,16,94,63,78,73,78,31,125,79,15,110,78,172,62,1
109,16,109,47,438,438,31,78,94,94,78,109,125,109,109,16,78,15,78,78,1
94,0,78,78,78,0,32,31,15,63,78,125,31,62,687,94,78,32,110,78,1
78,109,94,47,438,0,31,110,94,94,78,109,125,109,109,16,78,94,62,78,1
125,31,125,93,594,594,47,78,62,47,78,47,62,109,125,16,93,0,125,78,1
93,16,78,109,78,125,31,32,0,62,62,125,62,125,172,78,94,94,15,94,1
156,16,62,93,594,234,16,125,94,47,78,47,62,109,125,16,93,93,125,78,1
62,63,47,31,63,63,171,62,78,63,93,78,78,47,78,172,78,63,78,46,1
172,15,78,79,47,47,31,78,63,62,63,78,94,63,125,62,47,63,125,62,1
62,0,78,31,63,46,47,62,62,63,93,78,78,47,78,172,78,78,62,46,1
93,547,172,79,225,225,40,63,78,47,109,78,63,93,47,15,62,32,93,94,1
78,16,109,78,62,609,734,79,32,78,78,79,78,172,110,94,78,78,0,15,1
78,78,78,79,225,0,47,94,172,47,109,78,63,93,47,15,62,47,78,94,1
63,15,63,93,140,140,188,63,94,47,141,78,94,188,47,78,62,47,109,93,1
62,78,94,79,78,125,207,94,47,47,63,78,125,62,93,110,78,47,438,94,1
62,31,94,93,140,47,687,125,78,47,141,78,94,188,47,78,62,94,47,93,1
78,47,78,40,380,380,47,47,62,47,63,125,32,0,47,15,78,32,94,62,1
62,31,78,78,78,0,47,62,32,63,63,312,63,94,62,94,141,62,32,78,1
63,0,62,40,380,125,140,62,32,47,63,125,32,0,47,15,78,79,31,62,1
78,94,78,78,79,79,250,47,62,125,63,63,93,63,63,125,62,63,125,62,1
63,47,63,63,62,94,125,78,63,62,63,78,110,62,110,62,78,78,63,63,1
63,78,62,78,79,78,172,63,83,125,63,63,93,63,63,125,62,78,78,62,1
126,31,78,109,172,172,31,94,93,0,453,140,47,63,32,46,79,31,94,78,1
125,46,109,125,78,110,125,31,31,93,78,829,31,93,109,78,110,62,47,157,1
141,0,93,109,172,172,93,94,94,0,453,140,47,63,32,46,79,109,0,78,1
62,78,78,63,62,62,94,78,94,32,110,78,94,63,141,0,78,31,79,78,1
94,0,47,78,52,78,94,63,31,78,63,62,110,62,141,94,15,31,31,78,1
94,47,94,63,62,79,78,94,78,32,110,78,94,63,141,0,78,78,47,78,1
125,16,78,93,78,78,31,110,78,78,62,78,110,78,93,125,110,125,125,78,1
156,16,109,78,78,0,31,156,125,78,63,62,94,62,125,94,235,125,0,62,1
109,31,78,93,78,0,0,156,94,78,62,78,110,78,93,125,110,125,31,78,1
125,16,125,47,203,203,47,31,31,16,94,157,31,62,31,31,47,156,110,78,1
47,78,31,344,0,1469,140,0,156,78,78,0,47,63,78,156,16,31,125,63,1
16,79,31,47,203,141,15,125,109,16,94,157,31,62,31,31,47,94,0,78,1
141,62,94,78,78,78,249,78,407,234,93,94,140,79,78,47,109,78,391,78,1
109,63,109,62,78,62,204,78,78,281,93,94,172,78,213,94,110,78,516,94,1
110,0,407,78,78,1109,63,94,78,234,93,94,140,79,78,47,109,93,235,78,1
156,47,140,78,110,110,15,78,110,63,79,63,47,15,63,31,63,48,5,46,1
15,63,93,15,31,141,0,16,48,31,63,16,78,62,31,109,31,16,94,16,1
63,15,110,78,110,438,125,625,79,63,79,63,47,15,63,31,63,16,110,46,1
156,16,109,187,157,157,156,110,93,94,63,94,203,63,47,157,171,110,93,141,1
125,110,94,78,47,172,0,125,110,93,62,16,141,62,47,172,78,531,140,125,1
250,110,93,187,157,94,156,141,78,94,63,94,203,63,47,157,171,93,110,141,1
125,93,94,94,125,125,78,109,93,94,94,125,94,78,109,110,93,94,47,109,1
141,78,94,94,109,109,32,110,94,47,78,156,47,110,187,94,453,94,31,109,1
109,16,93,94,125,125,47,125,78,94,94,125,94,78,109,110,93,94,78,109,1
78,63,63,78,94,94,219,78,63,93,78,78,110,46,94,46,63,63,94,110,1
109,32,62,94,78,94,187,110,63,78,47,94,93,78,125,63,109,63,16,78,1
78,78,63,78,94,110,234,93,63,93,78,78,110,46,94,46,63,63,31,110,1
93,47,171,94,156,156,32,94,109,15,94,250,31,125,125,16,114,78,109,125,1
94,16,110,125,63,110,78,62,78,62,93,125,93,94,110,93,110,62,140,78,1
250,0,109,94,156,125,79,141,94,15,94,250,31,125,125,16,114,125,0,125,1
125,15,78,78,141,141,62,78,78,47,63,62,140,63,109,78,16,0,110,110,1
78,15,125,78,63,0,15,78,0,78,63,78,93,32,31,109,187,94,15,94,1
78,31,78,78,141,187,0,140,62,47,63,62,140,63,109,78,16,78,141,110,1
93,47,109,297,203,203,15,125,94,157,125,94,78,109,141,94,78,94,109,109,1
172,16,94,93,78,156,16,109,94,110,79,109,63,141,375,78,109,15,78,78,1
62,110,94,297,203,0,47,47,172,157,125,94,78,109,141,94,78,78,15,109,1
94,78,109,110,203,203,78,125,110,156,125,109,63,78,109,110,93,78,94,94,1
500,15,109,125,62,0,15,46,78,79,94,78,110,109,94,94,172,79,78,78,1
