@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,7,8,9,10,14,17,18,21,23,24,25,26,27,29,33,35,37,38,39,40,41,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute gender {1,2}

@data
93,282,234,94,94,94,63,63,218,79,78,78,63,140,78,78,1
63,297,188,62,93,109,78,78,250,93,62,62,78,140,94,344,1
62,797,234,94,141,109,219,78,375,62,78,78,63,140,78,78,1
93,32,110,250,250,63,78,125,46,187,78,63,125,47,109,93,1
78,16,31,78,125,63,63,78,16,62,63,63,125,15,94,547,1
31,172,110,250,844,31,16,109,32,94,78,63,125,47,109,93,1
156,0,32,171,171,109,47,63,62,156,31,375,156,47,63,78,1
62,16,93,47,110,109,375,94,109,93,63,78,78,47,16,0,1
47,31,32,171,94,125,15,62,125,125,31,375,156,47,63,78,1
125,15,94,78,78,63,63,141,0,78,141,63,94,78,93,78,1
187,16,31,63,0,94,63,94,63,93,234,110,110,93,94,32,1
78,31,94,78,94,63,15,109,16,79,141,63,94,78,93,78,1
125,172,250,78,78,78,78,125,140,62,94,110,47,156,94,94,1
110,359,219,93,94,78,110,62,328,109,93,63,78,109,156,140,1
94,313,250,78,93,94,78,94,187,109,94,110,47,156,94,94,1
63,94,93,156,156,63,63,78,125,141,78,73,78,31,79,110,1
62,16,16,47,0,656,73,62,125,78,62,63,140,0,47,62,1
78,31,93,156,0,94,62,94,31,78,78,73,78,31,79,110,1
109,16,391,438,438,46,94,78,31,110,94,78,109,125,109,78,1
94,0,141,78,0,46,78,31,78,63,63,78,125,31,687,78,1
78,109,391,438,0,94,78,110,31,0,94,78,109,125,109,78,1
125,31,485,594,594,140,94,78,141,125,47,78,47,62,125,93,1
93,16,47,78,125,141,78,32,110,78,62,62,125,62,172,94,1
156,16,485,594,234,109,94,125,78,109,47,78,47,62,125,93,1
62,63,125,63,63,79,63,62,32,78,63,93,78,78,78,78,1
172,15,46,47,47,94,93,78,15,78,62,63,78,94,125,47,1
62,0,125,63,46,94,94,62,16,62,63,93,78,78,78,78,1
93,547,128,225,225,110,63,63,47,15,47,109,78,63,47,62,1
78,16,47,62,609,0,109,79,93,109,78,78,79,78,110,78,1
78,78,128,225,0,141,93,94,31,47,47,109,78,63,47,62,1
63,15,63,140,140,109,31,63,578,78,47,141,78,94,47,62,1
62,78,62,78,125,109,141,94,78,94,47,63,78,125,93,78,1
62,31,63,140,47,94,78,125,453,63,47,141,78,94,47,62,1
78,47,271,380,380,125,79,47,16,94,47,63,125,32,47,78,1
62,31,32,78,0,125,63,62,31,78,63,63,312,63,62,141,1
63,0,271,380,125,94,63,62,0,76,47,63,125,32,47,78,1
78,94,140,79,79,93,62,47,141,62,125,63,63,93,63,62,1
63,47,94,62,94,125,63,78,78,78,62,63,78,110,110,78,1
63,78,140,79,78,125,62,63,125,47,125,63,63,93,63,62,1
126,31,31,172,172,156,110,94,16,109,0,453,140,47,32,79,1
125,46,15,78,110,156,453,31,63,94,93,78,829,31,109,110,1
141,0,31,172,172,157,31,94,78,94,0,453,140,47,32,79,1
62,78,78,62,62,94,62,78,31,93,32,110,78,94,141,78,1
94,0,61,52,78,188,110,63,62,47,78,63,62,110,141,15,1
94,47,78,62,79,78,16,94,47,109,32,110,78,94,141,78,1
125,16,188,78,78,94,94,110,31,109,78,62,78,110,93,110,1
156,16,0,78,0,109,62,156,31,78,78,63,62,94,125,235,1
109,31,188,78,0,94,0,156,16,78,78,62,78,110,93,110,1
125,16,109,203,203,62,31,31,63,47,16,94,157,31,31,47,1
47,78,94,0,1469,31,94,0,62,125,78,78,0,47,78,16,1
16,79,109,203,141,125,125,125,719,78,16,94,157,31,31,47,1
141,62,203,78,78,88,78,78,344,78,234,93,94,140,78,109,1
109,63,157,78,62,78,93,78,172,109,281,93,94,172,213,110,1
110,0,203,78,1109,250,32,94,203,78,234,93,94,140,78,109,1
156,47,79,110,110,110,31,78,16,94,63,79,63,47,63,63,1
15,63,94,31,141,94,79,16,78,46,31,63,16,78,31,31,1
63,15,79,110,438,31,93,625,32,93,63,79,63,47,63,63,1
156,16,109,157,157,94,109,110,94,218,94,63,94,203,47,171,1
125,110,141,47,172,172,63,125,125,297,93,62,16,141,47,78,1
250,110,109,157,94,110,94,141,140,110,94,63,94,203,47,171,1
125,93,125,125,125,125,94,109,63,78,94,94,125,94,109,93,1
141,78,47,109,109,171,94,110,140,109,47,78,156,47,187,453,1
109,16,125,125,125,141,47,125,110,110,94,94,125,94,109,93,1
78,63,125,94,94,98,78,78,109,94,93,78,78,110,94,63,1
109,32,31,78,94,78,78,110,15,94,78,47,94,93,125,109,1
78,78,125,94,110,78,15,93,0,94,93,78,78,110,94,63,1
93,47,47,156,156,140,172,94,31,141,15,94,250,31,125,114,1
94,16,0,63,110,187,94,62,109,94,62,93,125,93,110,110,1
250,0,47,156,125,140,16,141,15,94,15,94,250,31,125,114,1
125,15,16,141,141,125,78,78,63,140,47,63,62,140,109,16,1
78,15,78,63,0,125,63,78,78,172,78,63,78,93,31,187,1
78,31,16,141,187,94,94,140,63,78,47,63,62,140,109,16,1
93,47,16,203,203,137,78,125,16,78,157,125,94,78,141,78,1
172,16,32,78,156,137,125,109,0,94,110,79,109,63,375,109,1
62,110,16,203,0,140,32,47,16,78,157,125,94,78,141,78,1
94,78,109,203,203,109,78,125,47,110,156,125,109,63,109,93,1
500,15,47,62,0,109,125,46,109,110,79,94,78,110,94,172,1
93,375,109,203,0,125,78,141,31,78,156,125,109,63,109,93,1
156,47,31,78,78,31,47,15,47,78,94,62,47,125,62,63,1
78,156,156,16,531,31,62,47,79,31,31,62,94,0,47,31,1
78,156,31,78,671,31,15,78,32,16,94,62,47,125,62,63,1
110,15,31,125,125,125,125,63,125,203,125,93,47,141,31,63,1
47,31,110,94,0,125,93,0,16,16,47,79,0,93,1000,156,1
32,62,31,125,657,15,63,250,78,94,125,93,47,141,31,63,1
94,62,172,78,78,78,62,78,79,63,40,106,47,125,63,62,1
78,47,62,63,78,47,106,94,93,78,47,31,78,109,101,13,1
63,62,172,78,62,78,27,78,140,74,40,106,47,125,63,62,1
78,78,79,109,109,78,63,47,234,110,141,109,140,16,109,63,2
78,47,63,62,0,141,109,94,109,78,78,63,109,16,125,94,2
78,16,79,109,0,94,93,125,109,63,141,109,140,16,109,63,2
375,16,156,250,250,141,47,109,62,109,156,62,94,62,109,78,2
94,31,47,62,0,141,62,47,125,78,63,63,79,78,94,266,2
171,63,156,250,62,94,32,63,15,109,156,62,94,62,109,78,2
109,47,141,250,250,47,94,62,47,47,63,78,32,141,16,16,2
63,15,172,16,0,47,78,47,125,94,15,78,31,94,968,125,2
32,93,141,250,906,47,78,94,203,91,63,78,32,141,16,16,2
62,16,31,109,109,63,32,62,32,62,16,359,218,47,16,62,2
47,359,16,47,0,94,359,31,47,62,62,94,94,15,94,16,2
