@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,4,5,7,8,9,14,16,17,18,19,22,24,25,26,27,33,34,37,38,39,40,41,42'

@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
31,78,78,94,15,63,63,63,32,46,93,78,15,79,63,109,16,62,3312,1
16,62,125,78,79,62,515,78,31,79,47,63,62,125,78,79,172,15,3658,1
31,63,78,94,15,63,94,79,172,16,78,78,15,79,63,109,16,62,2985,1
62,94,63,109,63,78,78,47,16,63,78,265,79,78,141,46,32,109,3560,1
16,78,63,94,31,94,78,203,116,41,141,31,62,79,156,47,46,219,3641,1
31,47,78,109,63,78,62,110,31,62,62,265,79,78,141,46,32,109,4048,1
62,110,78,78,156,141,141,125,16,94,110,47,63,94,94,125,16,94,3862,1
31,125,94,78,16,62,172,94,63,109,94,63,93,79,78,110,93,32,3611,1
47,78,110,78,156,141,125,125,15,63,93,47,63,94,94,125,16,94,3614,1
32,78,47,63,47,62,62,62,110,78,110,78,62,79,79,140,15,78,3080,1
47,62,94,62,32,93,78,62,203,47,156,47,109,47,109,94,47,78,3515,1
125,47,62,63,47,62,63,78,31,63,78,78,62,79,79,140,15,78,3141,1
141,93,47,78,250,328,328,172,78,125,47,62,78,344,140,234,125,78,6577,1
109,32,110,46,79,31,0,172,235,62,515,62,78,78,16,93,78,62,5172,1
78,156,78,78,250,328,0,172,141,62,125,62,78,344,140,234,125,78,4420,1
282,93,78,78,234,94,94,94,218,47,109,78,78,78,63,140,828,78,6749,1
297,62,62,62,188,62,93,109,250,78,47,62,94,62,78,140,62,344,4935,1
797,94,62,78,234,94,141,109,375,47,78,78,78,78,63,140,828,78,6250,1
32,93,94,62,110,250,250,63,46,0,266,78,78,63,125,47,32,93,4202,1
16,94,109,78,31,78,125,63,16,47,516,63,93,63,125,15,93,547,3891,1
172,0,78,62,110,250,844,31,32,78,78,78,78,63,125,47,32,93,7094,1
0,94,93,109,32,171,171,109,62,63,78,31,47,375,156,47,16,78,3624,1
16,94,16,94,93,47,110,109,109,47,16,63,78,78,78,47,109,0,3281,1
31,62,93,109,32,171,94,125,125,109,0,31,47,375,156,47,16,78,4501,1
15,110,78,93,94,78,78,63,0,78,94,141,109,63,94,78,16,78,3703,1
16,78,63,78,31,63,0,94,63,78,94,234,328,110,110,93,93,32,3610,1
31,78,62,93,94,78,94,63,16,62,110,141,109,63,94,78,16,78,3280,1
172,94,109,109,250,78,78,78,140,63,125,94,78,110,47,156,265,94,4923,1
359,94,78,78,219,93,94,78,328,63,141,93,94,63,78,109,94,140,5672,1
313,93,78,109,250,78,93,94,187,78,94,94,78,110,47,156,265,94,4811,1
94,93,47,63,93,156,156,63,125,78,47,78,56,73,78,31,15,110,3755,1
16,47,47,47,16,47,0,656,125,78,78,62,78,63,140,0,110,62,3739,1
31,31,63,63,93,156,0,94,31,63,703,78,56,73,78,31,15,110,5098,1
16,110,109,47,391,438,438,46,31,94,140,94,31,78,109,125,16,78,4172,1
0,109,110,78,141,78,0,46,78,15,109,63,62,78,125,31,94,78,3593,1
109,32,93,47,391,438,0,94,31,94,94,94,31,78,109,125,16,78,5717,1
31,110,125,93,485,594,594,140,141,62,109,47,78,78,47,62,16,93,4935,1
16,94,125,109,47,78,125,141,110,0,110,62,94,62,125,62,78,94,3515,1
16,94,63,93,485,594,234,109,78,94,94,47,78,78,47,62,16,93,6516,1
63,93,47,31,125,63,63,79,32,78,78,63,47,93,78,78,172,78,3344,1
15,93,47,79,46,47,47,94,15,63,63,62,78,63,78,94,62,47,3125,1
0,63,63,31,125,63,46,94,16,62,79,63,47,93,78,78,172,78,2983,1
547,156,172,79,128,225,225,110,47,78,140,47,62,109,78,63,15,62,4488,1
16,109,109,78,47,62,609,0,93,32,47,78,78,78,79,78,94,78,4343,1
78,78,47,79,128,225,0,141,31,172,109,47,62,109,78,63,15,62,4134,1
15,63,63,93,63,140,140,109,578,94,125,47,94,141,78,94,78,62,3999,1
78,125,63,79,62,78,125,109,78,47,94,47,78,63,78,125,110,78,3941,1
31,47,63,93,63,140,47,94,453,78,766,47,94,141,78,94,78,62,5077,1
47,94,78,40,271,380,380,125,16,62,94,47,62,63,125,32,15,78,3507,1
31,78,0,78,32,78,0,125,31,32,94,63,62,63,312,63,94,141,3018,1
0,62,78,40,271,380,125,94,0,32,922,47,62,63,125,32,15,78,5659,1
94,94,78,78,140,79,79,93,141,62,125,125,47,63,63,93,125,62,4205,1
47,78,63,63,94,62,94,125,78,63,125,62,78,63,78,110,62,78,3438,1
78,78,47,78,140,79,78,125,125,83,78,125,47,63,63,93,125,62,3585,1
31,125,78,109,31,172,172,156,16,93,109,0,93,453,140,47,46,79,3983,1
46,125,16,125,15,78,110,156,63,31,125,93,110,78,829,31,78,110,4546,1
0,62,110,109,31,172,172,157,78,94,141,0,93,453,140,47,46,79,5156,1
78,110,78,63,78,62,62,94,31,94,94,32,62,110,78,94,0,78,3438,1
0,78,16,78,61,52,78,188,62,31,297,78,78,63,62,110,94,15,3129,1
47,31,94,63,78,62,79,78,47,78,62,32,62,110,78,94,0,78,3866,1
16,94,78,93,188,78,78,94,31,78,31,78,63,62,78,110,125,110,3953,1
16,62,78,78,0,78,0,109,31,125,141,78,47,63,62,94,94,235,3921,1
31,125,78,93,188,78,0,94,16,94,78,78,63,62,78,110,125,110,3623,1
16,109,125,47,109,203,203,62,63,31,297,16,62,94,157,31,31,47,3231,1
78,16,63,344,94,0,1469,31,62,156,32,78,78,78,0,47,156,16,4361,1
79,31,62,47,109,203,141,125,719,109,0,16,62,94,157,31,31,47,4186,1
62,110,94,78,203,78,78,88,344,407,94,234,79,93,94,140,47,109,5854,1
63,93,94,62,157,78,62,78,172,78,125,281,63,93,94,172,94,110,5009,1
0,78,78,78,203,78,1109,250,203,78,88,234,79,93,94,140,47,109,5833,1
47,47,140,78,79,110,110,110,16,110,62,63,78,79,63,47,31,63,3717,1
63,31,46,15,94,31,141,94,78,48,32,31,78,63,16,78,109,31,2360,1
