@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,6,8,15,16,18,19,21,23,24,25,26,27,28,29,35,36,38,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft6 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
93,32,93,93,78,94,47,94,125,15,78,125,125,94,172,31,140,78,62,94,62,94,1
234,141,62,79,94,62,391,110,0,15,63,188,94,235,297,31,141,93,94,93,32,109,1
62,32,109,78,63,63,15,109,109,16,141,47,63,94,109,16,31,94,15,62,32,78,1
63,15,94,79,31,78,63,31,0,15,78,63,93,62,94,47,94,109,62,63,47,94,1
78,63,62,63,47,63,15,109,125,16,31,16,78,94,109,16,31,94,94,62,32,78,1
141,15,82,102,118,118,53,91,91,259,62,78,125,78,110,94,187,110,110,94,15,125,1
109,188,62,16,63,110,15,63,78,172,78,16,16,93,94,125,78,125,110,156,15,109,1
125,15,110,16,532,118,53,91,94,223,93,16,171,78,110,94,187,110,109,94,15,125,1
94,31,78,78,94,94,15,63,63,62,94,32,31,79,63,109,140,78,79,15,47,16,1
78,16,62,156,78,78,79,62,515,63,62,31,15,125,78,79,78,109,63,109,16,79,1
140,31,63,46,78,94,15,63,94,62,63,172,110,79,63,109,140,78,79,15,47,16,1
125,62,94,63,109,109,63,78,78,125,109,16,125,78,141,46,32,62,41,78,15,63,1
172,16,78,62,78,94,31,94,78,125,93,116,63,79,156,47,94,126,47,78,47,46,1
94,31,47,63,94,109,63,78,62,125,47,31,94,78,141,46,32,62,46,78,15,63,1
78,62,110,78,78,78,156,141,141,16,125,16,109,94,94,125,78,187,109,79,78,62,1
203,31,125,32,110,78,16,62,172,15,62,63,78,79,78,110,78,110,78,94,31,63,1
