@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,7,8,17,18,21,23,24,25,26,27,33,34,37,38,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
78,94,156,93,94,16,62,0,78,125,234,94,94,641,78,94,78,156,47,78,140,63,109,1
125,93,94,94,94,78,156,125,62,94,93,125,62,94,78,63,234,234,63,94,63,203,140,1
141,16,94,62,62,391,110,110,15,110,78,78,109,125,297,78,235,297,31,282,109,32,109,1
93,32,125,78,94,47,94,125,15,141,235,16,125,125,78,94,94,172,31,141,15,62,94,1
234,141,94,94,62,391,110,0,15,109,16,125,188,94,297,78,235,297,31,282,109,32,109,1
62,32,78,63,63,15,109,109,16,62,31,46,47,63,94,47,94,109,16,47,125,32,78,1
63,15,78,31,78,63,31,0,15,62,94,78,63,93,78,63,62,94,47,78,110,47,94,1
78,63,16,47,63,15,109,125,16,63,16,62,16,78,94,47,94,109,16,47,125,32,78,1
141,15,102,118,118,53,91,91,259,144,63,31,78,125,156,47,78,110,94,343,125,15,125,1
109,188,94,63,110,15,63,78,172,94,78,219,16,16,79,78,93,94,125,125,250,15,109,1
125,15,109,532,118,53,91,94,223,125,16,156,16,171,156,47,78,110,94,343,125,15,125,1
94,31,78,94,94,15,63,63,62,63,78,62,32,31,78,15,79,63,109,16,62,47,16,1
78,16,125,78,78,79,62,515,63,78,79,78,31,15,63,62,125,78,79,172,15,16,79,1
140,31,78,78,94,15,63,94,62,79,31,110,172,110,78,15,79,63,109,16,62,47,16,1
125,62,63,109,109,63,78,78,125,47,78,46,16,125,265,79,78,141,46,32,109,15,63,1
172,16,63,78,94,31,94,78,125,203,78,172,116,63,31,62,79,156,47,46,219,47,46,1
94,31,78,94,109,63,78,62,125,110,78,32,31,94,265,79,78,141,46,32,109,15,63,1
78,62,78,78,78,156,141,141,16,125,110,78,16,109,47,63,94,94,125,16,94,78,62,1
203,31,94,110,78,16,62,172,15,94,94,109,63,78,63,93,79,78,110,93,32,31,63,1
78,47,110,78,78,156,141,125,109,125,47,94,15,63,47,63,94,94,125,16,94,78,62,1
62,32,47,63,63,47,62,62,141,62,63,62,110,78,78,62,79,79,140,15,78,16,62,1
78,47,94,63,62,32,93,78,157,62,79,94,203,78,47,109,47,109,94,47,78,47,78,1
63,125,62,62,63,47,62,63,140,78,46,78,31,63,78,62,79,79,140,15,78,16,62,1
94,141,47,78,78,250,328,328,62,172,157,47,78,422,62,78,344,140,234,125,78,31,94,1
313,109,110,157,46,79,31,0,62,172,344,140,235,359,62,78,78,16,93,78,62,281,79,1
78,78,78,15,78,250,328,0,63,172,47,109,141,94,62,78,344,140,234,125,78,31,94,1
93,282,78,78,78,234,94,94,47,94,63,63,218,79,78,78,78,63,140,828,78,219,78,1
63,297,62,63,62,188,62,93,63,109,78,78,250,93,62,94,62,78,140,62,344,204,62,1
62,797,62,62,78,234,94,141,203,109,219,78,375,62,78,78,78,63,140,828,78,219,78,1
93,32,94,62,62,110,250,250,63,63,78,125,46,187,78,78,63,125,47,32,93,78,63,1
78,16,109,78,78,31,78,125,16,63,63,78,16,62,63,93,63,125,15,93,547,16,78,1
31,172,78,78,62,110,250,844,938,31,16,109,32,94,78,78,63,125,47,32,93,78,63,1
156,0,93,109,109,32,171,171,16,109,47,63,62,156,31,47,375,156,47,16,78,31,125,1
62,16,16,47,94,93,47,110,31,109,375,94,109,93,63,78,78,78,47,109,0,15,94,1
47,31,93,78,109,32,171,94,31,125,15,62,125,125,31,47,375,156,47,16,78,31,125,1
125,15,78,93,93,94,78,78,203,63,63,141,0,78,141,109,63,94,78,16,78,32,62,1
187,16,63,63,78,31,63,0,0,94,63,94,63,93,234,328,110,110,93,93,32,31,78,1
78,31,62,78,93,94,78,94,171,63,15,109,16,79,141,109,63,94,78,16,78,32,62,1
125,172,109,109,109,250,78,78,110,78,78,125,140,62,94,78,110,47,156,265,94,94,78,1
110,359,78,78,78,219,93,94,78,78,110,62,328,109,93,94,63,78,109,94,140,125,93,1
94,313,78,94,109,250,78,93,250,94,78,94,187,109,94,78,110,47,156,265,94,94,78,1
63,94,47,63,63,93,156,156,31,63,63,78,125,141,78,56,73,78,31,15,110,31,63,1
62,16,47,63,47,16,47,0,594,656,73,62,125,78,62,78,63,140,0,110,62,31,78,1
78,31,63,62,63,93,156,0,16,94,62,94,31,78,78,56,73,78,31,15,110,31,63,1
109,16,109,47,47,391,438,438,31,46,94,78,31,110,94,31,78,109,125,16,78,0,94,1
94,0,110,94,78,141,78,0,32,46,78,31,78,63,63,62,78,125,31,94,78,31,94,1
78,109,93,78,47,391,438,0,31,94,78,110,31,0,94,31,78,109,125,16,78,0,94,1
125,31,125,93,93,485,594,594,47,140,94,78,141,125,47,78,78,47,62,16,93,32,93,1
93,16,125,94,109,47,78,125,31,141,78,32,110,78,62,94,62,125,62,78,94,47,93,1
156,16,63,94,93,485,594,234,16,109,94,125,78,109,47,78,78,47,62,16,93,32,93,1
62,63,47,31,31,125,63,63,171,79,63,62,32,78,63,47,93,78,78,172,78,79,78,1
172,15,47,63,79,46,47,47,31,94,93,78,15,78,62,78,63,78,94,62,47,63,78,1
62,0,63,62,31,125,63,46,47,94,94,62,16,62,63,47,93,78,78,172,78,79,78,1
93,547,172,79,79,128,225,225,40,110,63,63,47,15,47,62,109,78,63,15,62,47,94,1
78,16,109,63,78,47,62,609,734,0,109,79,93,109,78,78,78,79,78,94,78,62,47,1
78,78,47,78,79,128,225,0,47,141,93,94,31,47,47,62,109,78,63,15,62,47,94,1
63,15,63,93,93,63,140,140,188,109,31,63,578,78,47,94,141,78,94,78,62,63,62,1
62,78,63,31,79,62,78,125,207,109,141,94,78,94,47,78,63,78,125,110,78,31,94,1
62,31,63,78,93,63,140,47,687,94,78,125,453,63,47,94,141,78,94,78,62,63,62,1
78,47,78,40,40,271,380,380,47,125,79,47,16,94,47,62,63,125,32,15,78,16,78,1
62,31,0,79,78,32,78,0,47,125,63,62,31,78,63,62,63,312,63,94,141,31,79,1
63,0,78,94,40,271,380,125,140,94,63,62,0,76,47,62,63,125,32,15,78,16,78,1
78,94,78,78,78,140,79,79,250,93,62,47,141,62,125,47,63,63,93,125,62,110,78,1
63,47,63,62,63,94,62,94,125,125,63,78,78,78,62,78,63,78,110,62,78,47,78,1
63,78,47,47,78,140,79,78,172,125,62,63,125,47,125,47,63,63,93,125,62,110,78,1
126,31,78,109,109,31,172,172,31,156,110,94,16,109,0,93,453,140,47,46,79,32,78,1
125,46,16,110,125,15,78,110,125,156,453,31,63,94,93,110,78,829,31,78,110,31,109,1
141,0,110,78,109,31,172,172,93,157,31,94,78,94,0,93,453,140,47,46,79,32,78,1
62,78,78,63,63,78,62,62,94,94,62,78,31,93,32,62,110,78,94,0,78,62,63,1
94,0,16,62,78,61,52,78,94,188,110,63,62,47,78,78,63,62,110,94,15,47,78,1
94,47,94,47,63,78,62,79,78,78,16,94,47,109,32,62,110,78,94,0,78,62,63,1
125,16,78,93,93,188,78,78,31,94,94,110,31,109,78,63,62,78,110,125,110,32,125,1
156,16,78,94,78,0,78,0,31,109,62,156,31,78,78,47,63,62,94,94,235,235,125,1
109,31,78,109,93,188,78,0,0,94,0,156,16,78,78,63,62,78,110,125,110,32,125,1
125,16,125,47,47,109,203,203,47,62,31,31,63,47,16,62,94,157,31,31,47,16,62,1
47,78,63,31,344,94,0,1469,140,31,94,0,62,125,78,78,78,0,47,156,16,31,94,1
16,79,62,62,47,109,203,141,15,125,125,125,719,78,16,62,94,157,31,31,47,16,62,1
