@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,7,8,11,17,18,21,23,24,25,26,27,28,33,36,38,39'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
93,16,78,78,62,110,78,94,78,94,94,78,31,62,78,109,94,78,109,78,78,78,47,94,3172,1
156,47,78,94,93,94,94,94,78,94,31,47,31,78,62,94,94,125,78,594,94,93,47,78,4016,1
125,157,109,93,141,141,390,390,63,110,15,15,93,109,125,985,203,62,47,172,125,78,110,109,6223,1
38,129,297,109,15,172,31,0,15,187,985,94,125,94,172,109,16,110,157,282,344,156,313,391,6904,1
16,125,344,78,15,141,390,0,46,140,31,141,187,94,125,985,203,62,47,172,391,78,110,109,7576,1
94,296,110,141,94,94,156,156,63,93,93,109,31,94,63,234,234,63,109,94,62,94,203,140,4641,1
78,94,94,156,93,94,62,0,78,125,234,94,94,641,94,78,156,47,141,78,32,78,63,109,4392,1
125,93,32,94,94,94,156,125,62,94,93,125,62,94,63,234,234,63,109,94,109,94,203,140,5392,1
141,16,93,94,62,62,110,110,15,110,78,78,109,125,78,235,297,31,93,282,344,93,32,109,5689,1
93,32,93,125,78,94,94,125,15,141,235,16,125,125,94,94,172,31,78,141,62,94,62,94,4655,1
234,141,62,94,94,62,110,0,15,109,16,125,188,94,78,235,297,31,93,282,94,93,32,109,7678,1
62,32,109,78,63,63,109,109,16,62,31,46,47,63,47,94,109,16,94,47,15,62,32,78,3155,1
63,15,94,78,31,78,31,0,15,62,94,78,63,93,63,62,94,47,109,78,62,63,47,94,2765,1
78,63,62,16,47,63,109,125,16,63,16,62,16,78,47,94,109,16,94,47,94,62,32,78,3729,1
141,15,82,102,118,118,91,91,259,144,63,31,78,125,47,78,110,94,110,343,110,94,15,125,5127,1
109,188,62,94,63,110,63,78,172,94,78,219,16,16,78,93,94,125,125,125,110,156,15,109,4174,1
125,15,110,109,532,118,91,94,223,125,16,156,16,171,47,78,110,94,110,343,109,94,15,125,4970,1
94,31,78,78,94,94,63,63,62,63,78,62,32,31,15,79,63,109,78,16,79,15,47,16,3312,1
78,16,62,125,78,78,62,515,63,78,79,78,31,15,62,125,78,79,109,172,63,109,16,79,3658,1
140,31,63,78,78,94,63,94,62,79,31,110,172,110,15,79,63,109,78,16,79,15,47,16,2985,1
125,62,94,63,109,109,78,78,125,47,78,46,16,125,79,78,141,46,62,32,41,78,15,63,3560,1
172,16,78,63,78,94,94,78,125,203,78,172,116,63,62,79,156,47,126,46,47,78,47,46,3641,1
94,31,47,78,94,109,78,62,125,110,78,32,31,94,79,78,141,46,62,32,46,78,15,63,4048,1
78,62,110,78,78,78,141,141,16,125,110,78,16,109,63,94,94,125,187,16,109,79,78,62,3862,1
203,31,125,94,110,78,62,172,15,94,94,109,63,78,93,79,78,110,110,93,78,94,31,63,3611,1
78,47,78,110,78,78,141,125,109,125,47,94,15,63,63,94,94,125,187,16,63,79,78,62,3614,1
62,32,78,47,63,63,62,62,141,62,63,62,110,78,62,79,79,140,63,15,47,78,16,62,3080,1
78,47,62,94,63,62,93,78,157,62,79,94,203,78,109,47,109,94,125,47,47,63,47,78,3515,1
63,125,47,62,62,63,62,63,140,78,46,78,31,63,62,79,79,140,63,15,78,78,16,62,3141,1
94,141,93,47,78,78,328,328,62,172,157,47,78,422,78,344,140,234,47,125,62,78,31,94,6577,1
313,109,32,110,157,46,31,0,62,172,344,140,235,359,78,78,16,93,94,78,156,62,281,79,5172,1
78,78,156,78,15,78,328,0,63,172,47,109,141,94,78,344,140,234,47,125,79,78,31,94,4420,1
93,282,93,78,78,78,94,94,47,94,63,63,218,79,78,78,63,140,78,828,78,63,219,78,6749,1
63,297,62,62,63,62,62,93,63,109,78,78,250,93,94,62,78,140,94,62,94,78,204,62,4935,1
62,797,94,62,62,78,94,141,203,109,219,78,375,62,78,78,63,140,78,828,62,63,219,78,6250,1
93,32,93,94,62,62,250,250,63,63,78,125,46,187,78,63,125,47,109,32,47,93,78,63,4202,1
78,16,94,109,78,78,78,125,16,63,63,78,16,62,93,63,125,15,94,93,0,62,16,78,3891,1
31,172,0,78,78,62,250,844,938,31,16,109,32,94,78,63,125,47,109,32,78,93,78,63,7094,1
156,0,94,93,109,109,171,171,16,109,47,63,62,156,47,375,156,47,63,16,47,78,31,125,3624,1
62,16,94,16,47,94,47,110,31,109,375,94,109,93,78,78,78,47,16,109,62,94,15,94,3281,1
47,31,62,93,78,109,171,94,31,125,15,62,125,125,47,375,156,47,63,16,94,78,31,125,4501,1
