@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,8,9,11,15,16,18,19,23,24,25,26,27,37,39,41,43'

@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft6 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
32,93,94,94,125,15,78,125,344,125,78,94,94,172,31,140,78,141,15,94,94,94,1
141,79,62,110,0,15,63,188,109,94,297,78,235,297,31,141,93,282,109,141,93,109,1
32,78,63,109,109,16,141,47,63,63,94,47,94,109,16,31,94,47,125,78,62,78,1
15,79,78,31,0,15,78,63,15,93,78,63,62,94,47,94,109,78,110,31,63,94,1
63,63,63,109,125,16,31,16,79,78,94,47,94,109,16,31,94,47,125,46,62,78,1
15,102,118,91,91,259,62,78,16,125,156,47,78,110,94,187,110,343,125,31,94,125,1
188,16,110,63,78,172,78,16,110,16,79,78,93,94,125,78,125,125,250,15,156,109,1
15,16,118,91,94,223,93,16,78,171,156,47,78,110,94,187,110,343,125,16,94,125,1
31,78,94,63,63,62,94,32,46,31,78,15,79,63,109,140,78,16,62,15,15,16,1
16,156,78,62,515,63,62,31,79,15,63,62,125,78,79,78,109,172,15,47,109,79,1
31,46,94,63,94,62,63,172,16,110,78,15,79,63,109,140,78,16,62,78,15,16,1
62,63,109,78,78,125,109,16,63,125,265,79,78,141,46,32,62,32,109,65,78,63,1
16,62,94,94,78,125,93,116,41,63,31,62,79,156,47,94,126,46,219,63,78,46,1
31,63,109,78,62,125,47,31,62,94,265,79,78,141,46,32,62,32,109,47,78,63,1
62,78,78,141,141,16,125,16,94,109,47,63,94,94,125,78,187,16,94,32,79,62,1
31,32,78,62,172,15,62,63,109,78,63,93,79,78,110,78,110,93,32,16,94,63,1
47,94,78,141,125,109,78,15,63,63,47,63,94,94,125,78,187,16,94,62,79,62,1
32,47,63,62,62,141,125,110,78,78,78,62,79,79,140,47,63,15,78,94,78,62,1
47,78,62,93,78,157,62,203,47,78,47,109,47,109,94,62,125,47,78,47,63,78,1
125,78,63,62,63,140,47,31,63,63,78,62,79,79,140,47,63,15,78,62,78,62,1
141,47,78,328,328,62,93,78,125,422,62,78,344,140,234,63,47,125,78,125,78,94,1
109,141,46,31,0,62,94,235,62,359,62,78,78,16,93,63,94,78,62,16,62,79,1
78,125,78,328,0,63,63,141,62,94,62,78,344,140,234,63,47,125,78,31,78,94,1
282,78,78,94,94,47,984,218,47,79,78,78,78,63,140,94,78,828,78,297,63,78,1
297,78,62,62,93,63,63,250,78,93,62,94,62,78,140,78,94,62,344,484,78,62,1
797,47,78,94,141,203,78,375,47,62,78,78,78,63,140,94,78,828,78,375,63,78,1
32,94,62,250,250,63,94,46,0,187,78,78,63,125,47,63,109,32,93,78,93,63,1
16,62,78,78,125,16,62,16,47,62,63,93,63,125,15,78,94,93,547,78,62,78,1
172,0,62,250,844,938,46,32,78,94,78,78,63,125,47,63,109,32,93,63,93,63,1
0,93,109,171,171,16,125,62,63,156,31,47,375,156,47,78,63,16,78,78,78,125,1
16,63,94,47,110,31,78,109,47,93,63,78,78,78,47,125,16,109,0,16,94,94,1
31,63,109,171,94,31,63,125,109,125,31,47,375,156,47,78,63,16,78,62,78,125,1
15,78,93,78,78,203,94,0,78,78,141,109,63,94,78,94,93,16,78,78,93,62,1
16,94,78,63,0,0,62,63,78,93,234,328,110,110,93,78,94,93,32,32,94,78,1
31,78,93,78,94,171,78,16,62,79,141,109,63,94,78,94,93,16,78,16,93,62,1
172,109,109,78,78,110,156,140,63,62,94,78,110,47,156,79,94,265,94,422,93,78,1
359,78,78,93,94,78,93,328,63,109,93,94,63,78,109,79,156,94,140,547,110,93,1
313,63,109,78,93,250,63,187,78,109,94,78,110,47,156,79,94,265,94,203,93,78,1
94,47,63,156,156,31,469,125,78,141,78,56,73,78,31,125,79,15,110,78,62,63,1
16,63,47,47,0,594,166,125,78,78,62,78,63,140,0,63,47,110,62,47,63,78,1
31,78,63,156,0,16,141,31,63,78,78,56,73,78,31,125,79,15,110,172,62,63,1
16,109,47,438,438,31,62,31,94,110,94,31,78,109,125,109,109,16,78,78,78,94,1
0,78,78,78,0,32,94,78,15,63,63,62,78,125,31,62,687,94,78,110,78,94,1
109,94,47,438,0,31,47,31,94,0,94,31,78,109,125,109,109,16,78,62,78,94,1
31,125,93,594,594,47,47,141,62,125,47,78,78,47,62,109,125,16,93,125,78,93,1
16,78,109,78,125,31,79,110,0,78,62,94,62,125,62,125,172,78,94,15,94,93,1
16,62,93,594,234,16,94,78,94,109,47,78,78,47,62,109,125,16,93,125,78,93,1
63,47,31,63,63,171,109,32,78,78,63,47,93,78,78,47,78,172,78,78,46,78,1
15,78,79,47,47,31,63,15,63,78,62,78,63,78,94,63,125,62,47,125,62,78,1
0,78,31,63,46,47,47,16,62,62,63,47,93,78,78,47,78,172,78,62,46,78,1
547,172,79,225,225,40,78,47,78,15,47,62,109,78,63,93,47,15,62,93,94,94,1
16,109,78,62,609,734,63,93,32,109,78,78,78,79,78,172,110,94,78,0,15,47,1
78,78,79,225,0,47,32,31,172,47,47,62,109,78,63,93,47,15,62,78,94,94,1
15,63,93,140,140,188,141,578,94,78,47,94,141,78,94,188,47,78,62,109,93,62,1
78,94,79,78,125,207,62,78,47,94,47,78,63,78,125,62,93,110,78,438,94,94,1
31,94,93,140,47,687,62,453,78,63,47,94,141,78,94,188,47,78,62,47,93,62,1
47,78,40,380,380,47,15,16,62,94,47,62,63,125,32,0,47,15,78,94,62,78,1
31,78,78,78,0,47,157,31,32,78,63,62,63,312,63,94,62,94,141,32,78,79,1
0,62,40,380,125,140,0,0,32,76,47,62,63,125,32,0,47,15,78,31,62,78,1
94,78,78,79,79,250,125,141,62,62,125,47,63,63,93,63,63,125,62,125,62,78,1
47,63,63,62,94,125,62,78,63,78,62,78,63,78,110,62,110,62,78,63,63,78,1
78,62,78,79,78,172,63,125,83,47,125,47,63,63,93,63,63,125,62,78,62,78,1
31,78,109,172,172,31,46,16,93,109,0,93,453,140,47,63,32,46,79,94,78,78,1
46,109,125,78,110,125,94,63,31,94,93,110,78,829,31,93,109,78,110,47,157,109,1
0,93,109,172,172,93,78,78,94,94,0,93,453,140,47,63,32,46,79,0,78,78,1
78,78,63,62,62,94,47,31,94,93,32,62,110,78,94,63,141,0,78,79,78,63,1
0,47,78,52,78,94,62,62,31,47,78,78,63,62,110,62,141,94,15,31,78,78,1
47,94,63,62,79,78,94,47,78,109,32,62,110,78,94,63,141,0,78,47,78,63,1
16,78,93,78,78,31,62,31,78,109,78,63,62,78,110,78,93,125,110,125,78,125,1
16,109,78,78,0,31,94,31,125,78,78,47,63,62,94,62,125,94,235,0,62,125,1
31,78,93,78,0,0,62,16,94,78,78,63,62,78,110,78,93,125,110,31,78,125,1
16,125,47,203,203,47,78,63,31,47,16,62,94,157,31,62,31,31,47,110,78,62,1
78,31,344,0,1469,140,78,62,156,125,78,78,78,0,47,63,78,156,16,125,63,94,1
79,31,47,203,141,15,0,719,109,78,16,62,94,157,31,62,31,31,47,0,78,62,1
62,94,78,78,78,249,282,344,407,78,234,79,93,94,140,79,78,47,109,391,78,94,1
63,109,62,78,62,204,63,172,78,109,281,63,93,94,172,78,213,94,110,516,94,93,1
0,407,78,78,1109,63,93,203,78,78,234,79,93,94,140,79,78,47,109,235,78,94,1
47,140,78,110,110,15,47,16,110,94,63,78,79,63,47,15,63,31,63,5,46,78,1
63,93,15,31,141,0,188,78,48,46,31,78,63,16,78,62,31,109,31,94,16,16,1
15,110,78,110,438,125,32,32,79,93,63,78,79,63,47,15,63,31,63,110,46,78,1
16,109,187,157,157,156,203,94,93,218,94,109,63,94,203,63,47,157,171,93,141,94,1
110,94,78,47,172,0,93,125,110,297,93,110,62,16,141,62,47,172,78,140,125,93,1
110,93,187,157,94,156,78,140,78,110,94,109,63,94,203,63,47,157,171,110,141,94,1
93,94,94,125,125,78,109,63,93,78,94,62,94,125,94,78,109,110,93,47,109,79,1
78,94,94,109,109,32,94,140,94,109,47,93,78,156,47,110,187,94,453,31,109,94,1
