@relation keyboard-gender

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
94,93,94,125,16,78,78,47,93,78,15,78,0,31,78,93,63,844,31,94,63,63,94,62,63,47,109,94,78,47,110,47,78,172,78,63,16,109,78,94,78,78,3844,1
15,94,16,187,32,94,93,47,94,78,172,266,0,16,78,62,31,63,78,16,93,62,109,172,844,62,31,594,63,93,109,31,94,94,31,78,78,47,110,94,31,78,4530,1
78,78,94,94,141,78,78,62,63,63,141,281,281,47,47,32,187,47,62,94,62,125,31,63,47,140,234,47,78,63,93,156,47,15,93,16,16,78,94,47,94,47,3734,1
47,78,78,156,78,125,63,62,32,47,47,78,0,47,47,63,94,62,94,93,16,187,32,63,47,94,94,78,63,62,16,78,47,32,94,156,328,62,47,63,141,31,3222,1
235,47,328,141,219,47,62,47,63,63,141,281,0,31,109,78,15,47,78,47,78,63,0,32,1062,94,94,47,78,63,93,156,47,15,93,16,31,62,328,47,94,47,4719,1
79,125,109,109,109,94,94,78,78,78,94,94,94,312,78,94,93,94,78,78,63,63,125,62,94,94,93,78,78,94,78,63,78,62,78,78,78,125,63,63,31,62,3765,1
94,16,78,141,16,78,62,110,94,78,16,62,47,188,78,94,78,94,79,187,78,62,94,78,125,94,78,47,78,47,78,62,63,204,46,79,78,47,78,78,63,78,3425,1
78,31,78,47,109,47,63,15,63,78,94,94,78,172,78,31,63,125,78,47,78,78,46,204,94,15,79,78,78,94,78,63,78,62,78,78,78,218,79,63,31,62,3281,1
109,78,125,125,94,94,94,15,63,63,172,125,125,156,125,47,62,125,16,47,31,94,94,78,94,93,94,16,79,62,141,78,157,203,16,78,109,16,94,125,16,109,3737,1
125,188,47,94,125,62,16,110,47,109,16,78,156,109,125,62,78,110,47,31,109,109,78,94,93,94,94,94,78,93,94,94,62,79,62,47,109,32,78,78,47,124,3577,1
93,16,109,125,78,78,31,94,15,63,172,125,156,547,172,15,79,93,78,47,125,78,109,79,0,78,47,16,79,62,141,78,157,203,16,78,124,16,78,125,16,109,4000,1
