ft1,dtfk3,ft4,dtsk6,dtsk9,ft10,dtsk10,gender
109,47,219,125,79,63,1015,2
125,78,63,94,125,78,109,2
16,78,31,46,125,78,78,2
0,94,63,63,16,78,109,2
47,110,31,94,94,62,79,2
16,62,32,125,78,78,93,2
31,46,31,62,62,62,79,2
31,79,15,94,140,63,78,2
0,62,32,31,0,78,78,2
16,62,15,31,31,63,78,2
343,46,62,63,78,62,156,2
0,47,47,141,125,125,47,2
47,62,62,156,110,62,156,2
31,109,62,125,93,47,62,2
32,94,32,62,94,94,46,2
109,63,62,78,16,47,62,2
78,62,63,78,124,62,94,2
62,62,78,15,62,78,63,2
78,62,63,94,78,62,94,2
47,31,47,47,94,78,78,2
16,78,93,0,93,63,78,2
156,78,47,110,609,78,78,2
32,78,157,94,266,62,79,2
16,78,0,93,47,78,78,2
78,93,157,15,125,62,79,2
109,63,94,94,110,63,109,2
47,78,63,172,109,78,78,2
62,47,94,110,62,63,109,2
47,125,0,94,141,94,62,2
15,125,78,219,165,62,63,2
47,78,0,110,62,94,62,2
79,94,62,78,94,78,94,2
125,94,78,109,62,94,46,2
31,31,62,120,78,78,94,2
