ft1,dtfk2,dtfk3,ft4,dtsk4,dtfk7,ft7,ft9,dtfk10,ft10,dtfk11,ft11,ft12,ft13,dtfk14,ft14,dtsk14,gender
93,344,110,78,156,125,62,94,78,63,234,63,94,156,94,203,140,1
16,93,94,391,110,78,109,47,297,78,297,31,282,62,93,32,109,1
32,172,93,47,94,16,125,157,78,94,172,31,141,94,94,62,94,1
141,394,79,391,110,125,188,1313,297,78,297,31,282,141,93,32,109,1
32,109,78,15,109,46,47,78,94,47,109,16,47,78,62,32,78,1
15,109,79,63,31,78,63,62,78,63,94,47,78,31,63,47,94,1
63,109,63,15,109,62,16,62,94,47,109,16,47,46,62,32,78,1
15,82,102,53,91,31,78,125,156,47,110,94,343,31,94,15,125,1
188,109,16,15,63,219,16,125,79,78,94,125,125,15,156,15,109,1
15,110,16,53,91,156,16,110,156,47,110,94,343,16,94,15,125,1
31,78,78,15,63,62,32,78,78,15,63,109,16,15,15,47,16,1
16,62,156,79,62,78,31,63,63,62,78,79,172,47,109,16,79,1
31,63,46,15,63,110,172,109,78,15,63,109,16,78,15,47,16,1
62,94,63,63,78,46,16,172,265,79,141,46,32,65,78,15,63,1
16,156,62,31,94,172,116,109,31,62,156,47,46,63,78,47,46,1
31,63,63,63,78,32,31,94,265,79,141,46,32,47,78,15,63,1
62,110,78,156,141,78,16,16,47,63,94,125,16,32,79,78,62,1
31,110,32,16,62,109,63,79,63,93,78,110,93,16,94,31,63,1
47,78,94,156,141,94,15,62,47,63,94,125,16,62,79,78,62,1
32,78,47,47,62,62,110,140,78,62,79,140,15,94,78,16,62,1
47,93,78,32,93,94,203,62,47,109,109,94,47,47,63,47,78,1
125,94,78,47,62,78,31,171,78,62,79,140,15,62,78,16,62,1
141,93,47,250,328,47,78,94,62,78,140,234,125,125,78,31,94,1
109,31,141,79,31,140,235,188,62,78,16,93,78,16,62,281,79,1
78,297,125,250,328,109,141,47,62,78,140,234,125,31,78,31,94,1
282,93,78,234,94,63,218,156,78,78,63,140,828,297,63,219,78,1
