ft1,dtfk3,dtsk4,ft10,dtsk10,dtfk12,dtsk12,ft13,ft14,dtsk14,gender
110,94,47,110,62,47,78,140,63,93,1
110,93,157,109,63,47,171,110,15,94,1
93,94,125,62,94,109,93,47,62,79,1
78,94,109,93,78,187,453,31,94,94,1
16,93,125,62,94,109,93,78,62,79,1
63,63,94,63,78,94,63,94,62,94,1
32,62,78,109,47,125,109,16,109,63,1
78,63,94,63,78,94,63,31,62,94,1
47,171,156,141,94,125,114,109,0,109,1
16,110,63,110,93,110,110,140,0,125,1
0,109,156,141,94,125,114,0,0,109,1
15,78,141,47,63,109,16,110,62,156,1
15,125,63,109,63,31,187,15,31,78,1
31,78,141,47,63,109,16,141,62,156,1
47,109,203,62,125,141,78,109,31,110,1
16,94,78,93,79,375,109,78,15,78,1
110,94,203,62,125,141,78,15,31,110,1
78,109,203,78,125,109,93,94,47,78,1
15,109,62,62,94,94,172,78,31,94,1
375,110,203,78,125,109,93,484,47,78,1
47,141,78,16,62,62,63,78,78,16,1
156,47,16,94,62,47,31,78,62,0,1
156,31,78,16,62,62,63,79,78,16,1
15,141,125,47,93,31,63,109,93,47,1
31,94,94,93,79,1000,156,94,63,93,1
62,203,125,47,93,31,63,63,93,47,1
62,63,78,60,106,63,62,94,79,62,1
47,63,63,78,31,101,13,78,141,62,1
62,62,78,60,106,63,62,141,79,62,1
78,109,109,62,109,109,63,78,16,62,2
47,93,62,78,63,125,94,265,16,78,2
16,78,109,62,109,109,63,219,16,62,2
16,62,250,63,62,109,78,63,47,110,2
31,63,62,62,63,94,266,78,31,78,2
63,94,250,63,62,109,78,110,47,110,2
47,78,250,62,78,16,16,78,31,78,2
15,94,16,63,78,968,125,78,31,110,2
93,62,250,62,78,16,16,15,31,78,2
16,62,109,188,359,16,62,78,46,63,2
359,63,47,63,94,94,16,78,47,47,2
78,78,109,188,359,16,62,15,46,63,2
437,78,140,63,109,78,109,78,78,62,2
15,94,78,78,63,109,78,78,63,78,2
110,94,140,63,109,78,109,94,78,62,2
4369,69,80,78,78,63,109,37,69,61,2
4,98,78,68,150,141,141,13,63,78,2
6,79,80,78,78,63,109,15,69,61,2
156,94,172,250,78,78,125,63,78,125,2
15,78,78,78,63,109,62,94,172,125,2
78,78,172,250,78,78,125,266,78,125,2
32,63,187,94,78,63,78,88,16,93,2
32,94,62,47,63,109,15,32,46,125,2
78,78,187,94,78,63,78,15,16,93,2
141,63,62,63,1015,63,62,188,47,78,2
78,47,78,828,62,188,485,172,62,63,2
109,47,62,63,1015,63,62,125,47,78,2
125,78,109,78,109,94,78,78,31,78,2
16,78,110,78,78,94,62,78,31,94,2
0,94,109,78,109,94,78,31,31,78,2
47,110,79,62,79,110,94,78,16,78,2
16,62,78,78,93,78,0,32,32,62,2
31,46,79,62,79,110,94,32,16,78,2
31,79,140,63,78,78,78,78,16,78,2
0,62,94,78,78,94,31,15,16,94,2
16,62,140,63,78,78,78,15,16,78,2
343,46,78,62,156,110,31,78,31,47,2
0,47,63,125,47,140,94,78,47,62,2
47,62,78,62,156,110,31,47,31,47,2
31,109,172,47,62,110,94,93,47,62,2
32,94,78,94,46,110,47,78,62,79,2
109,63,172,47,62,110,94,46,47,62,2
78,62,78,62,94,63,62,31,47,62,2
62,62,63,78,63,79,78,47,62,63,2
78,62,78,62,94,63,62,31,47,62,2
47,31,125,78,78,16,62,47,0,31,2
16,78,32,63,78,78,62,94,94,16,2
