ft1,ft4,dtsk4,dtsk6,dtfk7,ft7,dtfk10,ft10,dtsk10,ft11,dtfk12,ft12,dtfk13,ft13,dtfk14,ft14,dtsk14,gender
797,234,94,125,78,375,78,78,78,140,78,828,62,375,63,219,78,1
32,110,250,78,125,46,78,78,63,47,109,32,47,78,93,78,63,1
16,31,78,141,78,16,63,93,63,15,94,93,0,78,62,16,78,1
172,110,250,94,109,32,78,78,63,47,109,32,78,63,93,78,63,1
0,32,171,62,63,62,31,47,375,47,63,16,47,78,78,31,125,1
16,93,47,78,94,109,63,78,78,47,16,109,62,16,94,15,94,1
31,32,171,140,62,125,31,47,375,47,63,16,94,62,78,31,125,1
15,94,78,187,141,0,141,109,63,78,93,16,78,78,93,32,62,1
16,31,63,125,94,63,234,328,110,93,94,93,78,32,94,31,78,1
31,94,78,94,109,16,141,109,63,78,93,16,78,16,93,32,62,1
172,250,78,110,125,140,94,78,110,156,94,265,63,422,93,94,78,1
359,219,93,610,62,328,93,94,63,109,156,94,93,547,110,125,93,1
313,250,78,156,94,187,94,78,110,156,94,265,93,203,93,94,78,1
94,93,156,62,78,125,78,56,73,31,79,15,78,78,62,31,63,1
16,16,47,16,62,125,62,78,63,0,47,110,31,47,63,31,78,1
31,93,156,15,94,31,78,56,73,31,79,15,78,172,62,31,63,1
16,391,438,94,78,31,94,31,78,125,109,16,15,78,78,0,94,1
0,141,78,78,31,78,63,62,78,31,687,94,32,110,78,31,94,1
109,391,438,46,110,31,94,31,78,125,109,16,94,62,78,0,94,1
31,485,594,93,78,141,47,78,78,62,125,16,0,125,78,32,93,1
16,47,78,109,32,110,62,94,62,62,172,78,94,15,94,47,93,1
16,485,594,109,125,78,47,78,78,62,125,16,93,125,78,32,93,1
63,125,63,172,62,32,63,47,93,78,78,172,63,78,46,79,78,1
15,46,47,125,78,15,62,78,63,94,125,62,63,125,62,63,78,1
0,125,63,109,62,16,63,47,93,78,78,172,78,62,46,79,78,1
547,128,225,78,63,47,47,62,109,63,47,15,32,93,94,47,94,1
16,47,62,172,79,93,78,78,78,78,110,94,78,0,15,62,47,1
78,128,225,62,94,31,47,62,109,63,47,15,47,78,94,47,94,1
15,63,140,62,63,578,47,94,141,94,47,78,47,109,93,63,62,1
78,62,78,156,94,78,47,78,63,125,93,110,47,438,94,31,94,1
31,63,140,94,125,453,47,94,141,94,47,78,94,47,93,63,62,1
47,271,380,62,47,16,47,62,63,32,47,15,32,94,62,16,78,1
31,32,78,15,62,31,63,62,63,63,62,94,62,32,78,31,79,1
0,271,380,94,62,0,47,62,63,32,47,15,79,31,62,16,78,1
94,140,79,63,47,141,125,47,63,93,63,125,63,125,62,110,78,1
47,94,62,172,78,78,62,78,63,110,110,62,78,63,63,47,78,1
78,140,79,125,63,125,125,47,63,93,63,125,78,78,62,110,78,1
31,31,172,125,94,16,0,93,453,47,32,46,31,94,78,32,78,1
46,15,78,47,31,63,93,110,78,31,109,78,62,47,157,31,109,1
0,31,172,15,94,78,0,93,453,47,32,46,109,0,78,32,78,1
