ft1,dtfk2,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtfk7,dtfk9,ft10,dtfk11,ft11,ft12,ft13,ft14,gender
359,79,78,78,78,219,94,62,156,94,78,109,94,547,125,1
313,94,63,94,109,250,93,94,78,78,47,156,265,203,94,1
94,93,47,63,63,93,156,78,78,56,78,31,15,78,31,1
16,63,63,63,47,16,0,62,15,78,140,0,110,47,31,1
31,47,78,62,63,93,0,94,844,56,78,31,15,172,31,1
16,110,109,47,47,391,438,78,78,31,109,125,16,78,0,1
0,93,78,94,78,141,0,31,46,62,125,31,94,110,31,1
109,203,94,78,47,391,0,110,765,31,109,125,16,62,0,1
31,110,125,93,93,485,594,78,140,78,47,62,16,125,32,1
16,125,78,94,109,47,125,32,109,94,125,62,78,15,47,1
16,188,62,94,93,485,234,125,985,78,47,62,16,125,32,1
63,93,47,31,31,125,63,62,63,47,78,78,172,78,79,1
15,94,78,63,79,46,47,78,109,78,78,94,62,125,63,1
0,78,78,62,31,125,46,62,62,47,78,78,172,62,79,1
547,156,172,79,79,128,225,63,94,62,78,63,15,93,47,1
16,109,109,63,78,47,609,79,62,78,79,78,94,0,62,1
78,15,78,78,79,128,0,94,812,62,78,63,15,78,47,1
15,63,63,93,93,63,140,63,63,94,78,94,78,109,63,1
78,79,94,31,79,62,125,94,94,78,78,125,110,438,31,1
31,63,94,78,93,63,47,125,63,94,78,94,78,47,63,1
47,94,78,40,40,271,380,47,62,62,125,32,15,94,16,1
31,31,78,79,78,32,0,62,94,62,312,63,94,32,31,1
0,141,62,94,40,271,125,62,813,62,125,32,15,31,16,1
94,94,78,78,78,140,79,47,63,47,63,93,125,125,110,1
47,94,63,62,63,94,94,78,125,78,78,110,62,63,47,1
78,94,62,47,78,140,78,63,63,47,63,93,125,78,110,1
31,125,78,109,109,31,172,94,172,93,140,47,46,94,32,1
46,47,109,110,125,15,110,31,15,110,829,31,78,47,31,1
0,78,93,78,109,31,172,94,719,93,140,47,46,0,32,1
78,110,78,63,63,78,62,78,47,62,78,94,0,79,62,1
0,0,47,62,78,61,78,63,31,78,62,110,94,31,47,1
47,93,94,47,63,78,79,94,895,62,78,94,0,47,62,1
16,94,78,93,93,188,78,110,78,63,78,110,125,125,32,1
16,140,109,94,78,0,0,156,78,47,62,94,94,0,235,1
31,78,78,109,93,188,0,156,203,63,78,110,125,31,32,1
16,109,125,47,47,109,203,31,93,62,157,31,31,110,16,1
78,32,31,31,344,94,1469,0,47,78,0,47,156,125,31,1
79,47,31,62,47,109,141,125,859,62,157,31,31,0,16,1
62,110,94,78,78,203,78,78,94,79,94,140,47,391,109,1
63,94,109,78,62,157,62,78,157,63,94,172,94,516,125,1
0,109,407,78,78,203,1109,94,63,79,94,140,47,235,109,1
47,47,140,78,78,79,110,78,469,78,63,47,31,5,109,1
63,31,93,31,15,94,141,16,47,78,16,78,109,94,109,1
15,235,110,16,78,79,438,625,0,78,63,47,31,110,109,1
16,125,109,187,187,109,157,110,125,109,94,203,157,93,15,1
110,156,94,109,78,141,172,125,125,110,16,141,172,140,63,1
110,312,93,125,187,109,94,141,750,109,94,203,157,110,15,1
93,125,94,94,94,125,125,109,94,62,125,94,110,47,62,1
78,125,94,94,94,47,109,110,94,93,156,47,94,31,94,1
16,156,93,109,94,125,125,125,125,62,125,94,110,78,62,1
63,109,63,78,78,125,94,78,78,63,78,110,46,94,62,1
32,78,62,78,94,31,94,110,63,109,94,93,63,16,109,1
78,109,63,94,78,125,110,93,93,63,78,110,46,31,62,1
47,110,171,94,94,47,156,94,110,141,250,31,16,109,0,1
16,0,110,172,125,0,110,62,0,110,125,93,93,140,0,1
0,312,109,78,94,47,125,141,860,141,250,31,16,0,0,1
15,78,78,78,78,16,141,78,109,47,62,140,78,110,62,1
15,32,125,78,78,78,0,78,47,109,78,93,109,15,31,1
31,79,78,94,78,16,187,140,937,47,62,140,78,141,62,1
47,94,109,297,297,16,203,125,94,62,94,78,94,109,31,1
16,219,94,78,93,32,156,109,16,93,109,63,78,78,15,1
110,63,94,125,297,16,0,47,110,62,94,78,94,15,31,1
78,125,109,110,110,109,203,125,94,78,109,63,110,94,47,1
15,141,109,78,125,47,0,46,141,62,78,110,94,78,31,1
375,94,110,93,110,109,0,141,1020,78,109,63,110,484,47,1
47,78,141,109,109,31,78,15,687,16,47,125,47,78,78,1
156,15,47,47,31,156,531,47,0,94,94,0,109,78,62,1
156,62,31,47,109,31,671,78,797,16,47,125,47,79,78,1
15,109,141,110,110,31,125,63,610,47,47,141,16,109,93,1
31,62,94,125,16,110,0,0,125,93,0,93,78,94,63,1
62,15,203,16,110,31,657,250,656,47,47,141,16,63,93,1
62,62,63,63,63,172,78,78,109,60,47,125,94,94,79,1
47,47,63,62,79,62,78,94,115,78,78,109,176,78,141,1
62,62,62,94,63,172,62,78,62,60,47,125,94,141,79,1
78,110,109,109,109,79,109,47,0,62,140,16,203,78,16,2
47,94,93,63,125,63,0,94,62,78,109,16,63,265,16,2
16,328,78,62,109,79,0,125,813,62,140,16,203,219,16,2
16,78,62,94,94,156,250,109,93,63,94,62,47,63,47,2
31,219,63,47,47,47,0,47,172,62,79,78,62,78,31,2
63,218,94,125,94,156,62,63,953,63,94,62,47,110,47,2
47,172,78,94,94,141,250,62,0,62,32,141,78,78,31,2
15,110,94,94,78,172,0,47,141,63,31,94,63,78,31,2
93,110,62,78,94,141,906,94,735,62,32,141,78,15,31,2
16,109,62,78,78,31,109,62,0,188,218,47,47,78,46,2
359,63,63,32,62,16,0,31,79,63,94,15,156,78,47,2
78,110,78,79,78,31,0,125,703,188,218,47,47,15,46,2
437,94,78,94,94,31,140,93,94,63,62,94,94,78,78,2
15,125,94,94,94,62,0,31,94,78,94,109,78,78,63,2
110,219,94,78,94,31,109,109,937,63,62,94,94,94,78,2
4369,113,69,90,90,63,80,89,78,78,69,111,78,37,69,2
