dtfk1,ft1,dtfk2,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtsk5,dtsk6,dtfk7,ft7,dtfk9,dtfk10,ft10,dtfk11,ft11,ft12,ft13,dtsk13,ft14,sum,gender
94,16,78,94,63,63,62,78,63,16,32,15,812,31,94,78,47,156,31,63,31,4454,1
109,31,109,94,93,93,32,110,62,63,78,16,562,656,47,32,78,782,125,16,62,5333,1
63,15,16,93,32,78,15,640,63,141,47,94,16,78,63,110,15,62,78,15,62,4297,1
94,157,46,63,78,93,32,0,125,16,703,16,719,656,47,32,78,782,109,16,62,7947,1
78,16,93,78,63,63,15,78,78,94,63,94,703,31,79,63,93,0,94,469,15,4015,1
94,15,93,204,78,110,15,47,219,94,79,78,94,63,78,63,94,93,156,78,31,3294,1
94,47,78,78,78,63,15,94,234,94,141,15,859,31,79,63,93,0,32,109,15,4452,1
93,16,94,78,94,94,78,125,78,250,125,109,906,94,156,94,94,78,63,109,78,5954,1
250,16,172,110,78,93,16,0,93,94,141,93,93,172,62,265,78,109,703,62,813,5530,1
140,16,93,172,78,94,78,891,172,93,94,78,1078,94,156,94,94,78,31,110,78,5998,1
562,16,78,78,94,94,0,94,94,93,78,15,94,109,62,94,125,594,47,78,47,4670,1
93,16,125,109,62,110,78,94,94,94,78,31,47,63,78,94,78,78,31,78,47,3172,1
156,47,94,79,93,94,0,94,94,47,47,31,62,109,62,94,125,594,172,94,47,4016,1
125,157,109,93,141,141,265,390,110,38,15,93,78,46,125,203,62,172,94,141,110,6223,1
38,129,110,594,15,172,250,0,187,140,94,125,31,94,172,16,110,282,406,16,313,6904,1
16,125,78,219,15,141,265,0,140,31,141,187,1312,46,125,203,62,172,31,109,110,7576,1
94,296,110,141,94,94,78,156,93,78,109,31,78,78,63,234,63,94,125,94,203,4641,1
78,94,172,128,93,94,16,0,125,94,94,94,94,78,94,156,47,78,93,47,63,4392,1
125,93,344,110,94,94,78,125,94,94,125,62,797,78,63,234,63,94,156,63,203,5392,1
141,16,93,94,62,62,391,110,110,93,78,109,109,297,78,297,31,282,62,360,32,5689,1
93,32,172,93,78,94,47,125,141,250,16,125,218,78,94,172,31,141,94,344,62,4655,1
234,141,394,79,94,62,391,0,109,218,125,188,1172,297,78,297,31,282,141,266,32,7678,1
62,32,109,78,63,63,15,109,62,63,46,47,62,94,47,109,16,47,78,47,32,3155,1
63,15,109,79,31,78,63,0,62,78,78,63,94,78,63,94,47,78,31,63,47,2765,1
78,63,109,63,47,63,15,125,63,94,62,16,884,94,47,109,16,47,46,47,32,3729,1
141,15,82,102,118,118,53,91,144,109,31,78,875,156,47,110,94,343,31,125,15,5127,1
109,188,109,16,63,110,15,78,94,157,219,16,110,79,78,94,125,125,15,109,15,4174,1
125,15,110,16,532,118,53,94,125,110,156,16,125,156,47,110,94,343,16,125,15,4970,1
94,31,78,78,94,94,15,63,63,78,62,32,657,78,15,63,109,16,15,47,47,3312,1
78,16,62,156,78,78,79,515,78,78,78,31,109,63,62,78,79,172,47,78,16,3658,1
140,31,63,46,78,94,15,94,79,109,110,172,63,78,15,63,109,16,78,62,47,2985,1
125,62,94,63,109,109,63,78,47,172,46,16,63,265,79,141,46,32,65,78,15,3560,1
172,16,156,62,78,94,31,78,203,110,172,116,63,31,62,156,47,46,63,62,47,3641,1
94,31,63,63,94,109,63,62,110,63,32,31,906,265,79,141,46,32,47,94,15,4048,1
78,62,110,78,78,78,156,141,125,203,78,16,109,47,63,94,125,16,32,109,78,3862,1
203,31,110,32,110,78,16,172,94,125,109,63,109,63,93,78,110,93,16,93,31,3611,1
78,47,78,94,78,78,156,125,125,109,94,15,129,47,63,94,125,16,62,47,78,3614,1
62,32,78,47,63,63,47,62,62,78,62,110,63,78,62,79,140,15,94,63,16,3080,1
78,47,93,78,63,62,32,78,62,125,94,203,141,47,109,109,94,47,47,62,47,3515,1
63,125,94,78,62,63,47,63,78,141,78,31,79,78,62,79,140,15,62,63,16,3141,1
94,141,93,47,78,78,250,328,172,313,47,78,1078,62,78,140,234,125,125,125,31,6577,1
313,109,31,141,157,46,79,0,172,140,140,235,62,62,78,16,93,78,16,78,281,5172,1
78,78,297,125,15,78,250,0,172,62,109,141,0,62,78,140,234,125,31,109,31,4420,1
93,282,93,78,78,78,234,94,94,63,63,218,78,78,78,63,140,828,297,78,219,6749,1
63,297,47,78,63,62,188,93,109,203,78,250,125,62,94,78,140,62,484,79,204,4935,1
62,797,78,47,62,78,234,141,109,125,78,375,110,78,78,63,140,828,375,63,219,6250,1
93,32,93,94,62,62,110,250,63,78,125,46,62,78,78,125,47,32,78,78,78,4202,1
78,16,94,62,78,78,31,125,63,141,78,16,94,63,93,125,15,93,78,31,16,3891,1
31,172,172,0,78,62,110,844,31,94,109,32,1047,78,78,125,47,32,63,187,78,7094,1
156,0,94,93,109,109,32,171,109,62,63,62,126,31,47,156,47,16,78,16,31,3624,1
62,16,47,63,47,94,93,110,109,78,94,109,140,63,78,78,47,109,16,62,15,3281,1
47,31,109,63,78,109,32,94,125,140,62,125,1176,31,47,156,47,16,62,78,31,4501,1
125,15,110,78,93,93,94,78,63,187,141,0,141,141,109,94,78,16,78,78,32,3703,1
187,16,93,94,63,78,31,0,94,125,94,63,94,234,328,110,93,93,32,62,31,3610,1
78,31,63,78,78,93,94,94,63,94,109,16,78,141,109,94,78,16,16,78,32,3280,1
125,172,94,109,109,109,250,78,78,110,125,140,94,94,78,47,156,265,422,78,94,4923,1
110,359,79,78,78,78,219,94,78,610,62,328,156,93,94,78,109,94,547,94,125,5672,1
94,313,94,63,94,109,250,93,94,156,94,187,78,94,78,47,156,265,203,63,94,4811,1
63,94,93,47,63,63,93,156,63,62,78,125,78,78,56,78,31,15,78,47,31,3755,1
62,16,63,63,63,47,16,0,656,16,62,125,15,62,78,140,0,110,47,63,31,3739,1
78,31,47,78,62,63,93,0,94,15,94,31,844,78,56,78,31,15,172,78,31,5098,1
109,16,110,109,47,47,391,438,46,94,78,31,78,94,31,109,125,16,78,31,0,4172,1
94,0,93,78,94,78,141,0,46,78,31,78,46,63,62,125,31,94,110,31,31,3593,1
78,109,203,94,78,47,391,0,94,46,110,31,765,94,31,109,125,16,62,63,0,5717,1
125,31,110,125,93,93,485,594,140,93,78,141,140,47,78,47,62,16,125,62,32,4935,1
93,16,125,78,94,109,47,125,141,109,32,110,109,62,94,125,62,78,15,63,47,3515,1
156,16,188,62,94,93,485,234,109,109,125,78,985,47,78,47,62,16,125,94,32,6516,1
62,63,93,47,31,31,125,63,79,172,62,32,63,63,47,78,78,172,78,63,79,3344,1
172,15,94,78,63,79,46,47,94,125,78,15,109,62,78,78,94,62,125,31,63,3125,1
62,0,78,78,62,31,125,46,94,109,62,16,62,63,47,78,78,172,62,32,79,2983,1
93,547,156,172,79,79,128,225,110,78,63,47,94,47,62,78,63,15,93,16,47,4488,1
78,16,109,109,63,78,47,609,0,172,79,93,62,78,78,79,78,94,0,63,62,4343,1
78,78,15,78,78,79,128,0,141,62,94,31,812,47,62,78,63,15,78,47,47,4134,1
63,15,63,63,93,93,63,140,109,62,63,578,63,47,94,78,94,78,109,47,63,3999,1
62,78,79,94,31,79,62,125,109,156,94,78,94,47,78,78,125,110,438,62,31,3941,1
62,31,63,94,78,93,63,47,94,94,125,453,63,47,94,78,94,78,47,62,63,5077,1
78,47,94,78,40,40,271,380,125,62,47,16,62,47,62,125,32,15,94,31,16,3507,1
62,31,31,78,79,78,32,0,125,15,62,31,94,63,62,312,63,94,32,62,31,3018,1
63,0,141,62,94,40,271,125,94,94,62,0,813,47,62,125,32,15,31,156,16,5659,1
78,94,94,78,78,78,140,79,93,63,47,141,63,125,47,63,93,125,125,62,110,4205,1
63,47,94,63,62,63,94,94,125,172,78,78,125,62,78,78,110,62,63,46,47,3438,1
63,78,94,62,47,78,140,78,125,125,63,125,63,125,47,63,93,125,78,47,110,3585,1
126,31,125,78,109,109,31,172,156,125,94,16,172,0,93,140,47,46,94,78,32,3983,1
125,46,47,109,110,125,15,110,156,47,31,63,15,93,110,829,31,78,47,94,31,4546,1
141,0,78,93,78,109,31,172,157,15,94,78,719,0,93,140,47,46,0,110,32,5156,1
62,78,110,78,63,63,78,62,94,94,78,31,47,32,62,78,94,0,79,46,62,3438,1
94,0,0,47,62,78,61,78,188,141,63,62,31,78,78,62,110,94,31,94,47,3129,1
94,47,93,94,47,63,78,79,78,31,94,47,895,32,62,78,94,0,47,78,62,3866,1
125,16,94,78,93,93,188,78,94,156,110,31,78,78,63,78,110,125,125,125,32,3953,1
156,16,140,109,94,78,0,0,109,313,156,31,78,78,47,62,94,94,0,94,235,3921,1
109,31,78,78,109,93,188,0,94,78,156,16,203,78,63,78,110,125,31,109,32,3623,1
125,16,109,125,47,47,109,203,62,47,31,63,93,16,62,157,31,31,110,62,16,3231,1
47,78,32,31,31,344,94,1469,31,63,0,62,47,78,78,0,47,156,125,15,31,4361,1
16,79,47,31,62,47,109,141,125,47,125,719,859,16,62,157,31,31,0,62,16,4186,1
141,62,110,94,78,78,203,78,88,109,78,344,94,234,79,94,140,47,391,109,109,5854,1
109,63,94,109,78,62,157,62,78,172,78,172,157,281,63,94,172,94,516,78,125,5009,1
110,0,109,407,78,78,203,1109,250,157,94,203,63,234,79,94,140,47,235,78,109,5833,1
156,47,47,140,78,78,79,110,110,15,78,16,469,63,78,63,47,31,5,84,109,3717,1
15,63,31,93,31,15,94,141,94,31,16,78,47,31,78,16,78,109,94,0,109,2360,1
63,15,235,110,16,78,79,438,31,47,625,32,0,63,78,63,47,31,110,15,109,3677,1
156,16,125,109,187,187,109,157,94,125,110,94,125,94,109,94,203,157,93,161,15,4960,1
125,110,156,94,109,78,141,172,172,500,125,125,125,93,110,16,141,172,140,516,63,5704,1
250,110,312,93,125,187,109,94,110,125,141,140,750,94,109,94,203,157,110,109,15,5814,1
125,93,125,94,94,94,125,125,125,141,109,63,94,94,62,125,94,110,47,109,62,4233,1
141,78,125,94,94,94,47,109,171,140,110,140,94,47,93,156,47,94,31,125,94,4563,1
109,16,156,93,109,94,125,125,141,94,125,110,125,94,62,125,94,110,78,141,62,4142,1
78,63,109,63,78,78,125,94,98,109,78,109,78,93,63,78,110,46,94,78,62,3677,1
109,32,78,62,78,94,31,94,78,125,110,15,63,78,109,94,93,63,16,93,109,3404,1
78,78,109,63,94,78,125,110,78,63,93,0,93,93,63,78,110,46,31,94,62,3484,1
93,47,110,171,94,94,47,156,140,94,94,31,110,15,141,250,31,16,109,16,0,4112,1
94,16,0,110,172,125,0,110,187,47,62,109,0,62,110,125,93,93,140,16,0,3546,1
250,0,312,109,78,94,47,125,140,0,141,15,860,15,141,250,31,16,0,109,0,4802,1
125,15,78,78,78,78,16,141,125,78,78,63,109,47,47,62,140,78,110,15,62,3298,1
78,15,32,125,78,78,78,0,125,110,78,78,47,78,109,78,93,109,15,94,31,3000,1
78,31,79,78,94,78,16,187,94,47,140,63,937,47,47,62,140,78,141,78,62,4078,1
93,47,94,109,297,297,16,203,137,172,125,16,94,157,62,94,78,94,109,125,31,4810,1
172,16,219,94,78,93,32,156,137,94,109,0,16,110,93,109,63,78,78,0,15,3762,1
62,110,63,94,125,297,16,0,140,16,47,16,110,157,62,94,78,94,15,141,31,4143,1
94,78,125,109,110,110,109,203,109,500,125,47,94,156,78,109,63,110,94,78,47,5623,1
500,15,141,109,78,125,47,0,109,609,46,109,141,79,62,78,110,94,78,78,31,5015,1
93,375,94,110,93,110,109,0,125,141,141,31,1020,156,78,109,63,110,484,203,47,6649,1
156,47,78,141,109,109,31,78,31,78,15,47,687,94,16,47,125,47,78,0,78,3281,1
78,156,15,47,47,31,156,531,31,172,47,79,0,31,94,94,0,109,78,31,62,3485,1
78,156,62,31,47,109,31,671,31,0,78,32,797,94,16,47,125,47,79,78,78,4676,1
110,15,109,141,110,110,31,125,125,47,63,125,610,125,47,47,141,16,109,16,93,4046,1
47,31,62,94,125,16,110,0,125,78,0,16,125,47,93,0,93,78,94,15,63,4154,1
32,62,15,203,16,110,31,657,15,125,250,78,656,125,47,47,141,16,63,219,93,6861,1
