dtfk2,dtsk3,ft4,dtfk7,dtsk7,dtfk9,dtfk10,ft10,dtfk11,ft11,dtfk13,ft13,dtsk13,dtfk14,ft14,gender
79,78,219,62,63,156,93,94,78,109,93,547,94,110,125,1
94,94,250,94,78,78,94,78,47,156,93,203,63,93,94,1
93,63,93,78,78,78,78,56,78,31,78,78,47,62,31,1
63,63,16,62,78,15,62,78,140,0,31,47,63,63,31,1
47,62,93,94,63,844,78,56,78,31,78,172,78,62,31,1
110,47,391,78,94,78,94,31,109,125,15,78,31,78,0,1
93,94,141,31,15,46,63,62,125,31,32,110,31,78,31,1
203,78,391,110,94,765,94,31,109,125,94,62,63,78,0,1
110,93,485,78,62,140,47,78,47,62,0,125,62,78,32,1
125,94,47,32,0,109,62,94,125,62,94,15,63,94,47,1
188,94,485,125,94,985,47,78,47,62,93,125,94,78,32,1
93,31,125,62,78,63,63,47,78,78,63,78,63,46,79,1
94,63,46,78,63,109,62,78,78,94,63,125,31,62,63,1
78,62,125,62,62,62,63,47,78,78,78,62,32,46,79,1
156,79,128,63,78,94,47,62,78,63,32,93,16,94,47,1
109,63,47,79,32,62,78,78,79,78,78,0,63,15,62,1
15,78,128,94,172,812,47,62,78,63,47,78,47,94,47,1
63,93,63,63,94,63,47,94,78,94,47,109,47,93,63,1
79,31,62,94,47,94,47,78,78,125,47,438,62,94,31,1
63,78,63,125,78,63,47,94,78,94,94,47,62,93,63,1
94,40,271,47,62,62,47,62,125,32,32,94,31,62,16,1
31,79,32,62,32,94,63,62,312,63,62,32,62,78,31,1
141,94,271,62,32,813,47,62,125,32,79,31,156,62,16,1
94,78,140,47,62,63,125,47,63,93,63,125,62,62,110,1
94,62,94,78,63,125,62,78,78,110,78,63,46,63,47,1
94,47,140,63,83,63,125,47,63,93,78,78,47,62,110,1
125,109,31,94,93,172,0,93,140,47,31,94,78,78,32,1
47,110,15,31,31,15,93,110,829,31,62,47,94,157,31,1
78,78,31,94,94,719,0,93,140,47,109,0,110,78,32,1
110,63,78,78,94,47,32,62,78,94,31,79,46,78,62,1
0,62,61,63,31,31,78,78,62,110,31,31,94,78,47,1
93,47,78,94,78,895,32,62,78,94,78,47,78,78,62,1
94,93,188,110,78,78,78,63,78,110,125,125,125,78,32,1
140,94,0,156,125,78,78,47,62,94,125,0,94,62,235,1
78,109,188,156,94,203,78,63,78,110,125,31,109,78,32,1
109,47,109,31,31,93,16,62,157,31,156,110,62,78,16,1
32,31,94,0,156,47,78,78,0,47,31,125,15,63,31,1
47,62,109,125,109,859,16,62,157,31,94,0,62,78,16,1
110,78,203,78,407,94,234,79,94,140,78,391,109,78,109,1
94,78,157,78,78,157,281,63,94,172,78,516,78,94,125,1
109,78,203,94,78,63,234,79,94,140,93,235,78,78,109,1
