dtfk1,ft1,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtsk6,dtfk7,dtfk9,dtfk10,ft10,dtfk11,ft11,ft12,ft13,dtsk13,ft14,gender
94,141,47,78,78,250,328,313,47,1078,62,78,140,234,125,125,125,31,1
313,109,141,157,46,79,0,140,140,62,62,78,16,93,78,16,78,281,1
78,78,125,15,78,250,0,62,109,0,62,78,140,234,125,31,109,31,1
93,282,78,78,78,234,94,63,63,78,78,78,63,140,828,297,78,219,1
63,297,78,63,62,188,93,203,78,125,62,94,78,140,62,484,79,204,1
62,797,47,62,78,234,141,125,78,110,78,78,63,140,828,375,63,219,1
93,32,94,62,62,110,250,78,125,62,78,78,125,47,32,78,78,78,1
78,16,62,78,78,31,125,141,78,94,63,93,125,15,93,78,31,16,1
31,172,0,78,62,110,844,94,109,1047,78,78,125,47,32,63,187,78,1
156,0,93,109,109,32,171,62,63,126,31,47,156,47,16,78,16,31,1
62,16,63,47,94,93,110,78,94,140,63,78,78,47,109,16,62,15,1
47,31,63,78,109,32,94,140,62,1176,31,47,156,47,16,62,78,31,1
125,15,78,93,93,94,78,187,141,141,141,109,94,78,16,78,78,32,1
187,16,94,63,78,31,0,125,94,94,234,328,110,93,93,32,62,31,1
78,31,78,78,93,94,94,94,109,78,141,109,94,78,16,16,78,32,1
125,172,109,109,109,250,78,110,125,94,94,78,47,156,265,422,78,94,1
110,359,78,78,78,219,94,610,62,156,93,94,78,109,94,547,94,125,1
94,313,63,94,109,250,93,156,94,78,94,78,47,156,265,203,63,94,1
63,94,47,63,63,93,156,62,78,78,78,56,78,31,15,78,47,31,1
62,16,63,63,47,16,0,16,62,15,62,78,140,0,110,47,63,31,1
78,31,78,62,63,93,0,15,94,844,78,56,78,31,15,172,78,31,1
109,16,109,47,47,391,438,94,78,78,94,31,109,125,16,78,31,0,1
94,0,78,94,78,141,0,78,31,46,63,62,125,31,94,110,31,31,1
78,109,94,78,47,391,0,46,110,765,94,31,109,125,16,62,63,0,1
125,31,125,93,93,485,594,93,78,140,47,78,47,62,16,125,62,32,1
93,16,78,94,109,47,125,109,32,109,62,94,125,62,78,15,63,47,1
156,16,62,94,93,485,234,109,125,985,47,78,47,62,16,125,94,32,1
62,63,47,31,31,125,63,172,62,63,63,47,78,78,172,78,63,79,1
172,15,78,63,79,46,47,125,78,109,62,78,78,94,62,125,31,63,1
62,0,78,62,31,125,46,109,62,62,63,47,78,78,172,62,32,79,1
93,547,172,79,79,128,225,78,63,94,47,62,78,63,15,93,16,47,1
78,16,109,63,78,47,609,172,79,62,78,78,79,78,94,0,63,62,1
78,78,78,78,79,128,0,62,94,812,47,62,78,63,15,78,47,47,1
63,15,63,93,93,63,140,62,63,63,47,94,78,94,78,109,47,63,1
62,78,94,31,79,62,125,156,94,94,47,78,78,125,110,438,62,31,1
62,31,94,78,93,63,47,94,125,63,47,94,78,94,78,47,62,63,1
78,47,78,40,40,271,380,62,47,62,47,62,125,32,15,94,31,16,1
62,31,78,79,78,32,0,15,62,94,63,62,312,63,94,32,62,31,1
63,0,62,94,40,271,125,94,62,813,47,62,125,32,15,31,156,16,1
78,94,78,78,78,140,79,63,47,63,125,47,63,93,125,125,62,110,1
63,47,63,62,63,94,94,172,78,125,62,78,78,110,62,63,46,47,1
63,78,62,47,78,140,78,125,63,63,125,47,63,93,125,78,47,110,1
126,31,78,109,109,31,172,125,94,172,0,93,140,47,46,94,78,32,1
125,46,109,110,125,15,110,47,31,15,93,110,829,31,78,47,94,31,1
141,0,93,78,109,31,172,15,94,719,0,93,140,47,46,0,110,32,1
62,78,78,63,63,78,62,94,78,47,32,62,78,94,0,79,46,62,1
94,0,47,62,78,61,78,141,63,31,78,78,62,110,94,31,94,47,1
94,47,94,47,63,78,79,31,94,895,32,62,78,94,0,47,78,62,1
125,16,78,93,93,188,78,156,110,78,78,63,78,110,125,125,125,32,1
156,16,109,94,78,0,0,313,156,78,78,47,62,94,94,0,94,235,1
109,31,78,109,93,188,0,78,156,203,78,63,78,110,125,31,109,32,1
125,16,125,47,47,109,203,47,31,93,16,62,157,31,31,110,62,16,1
