@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,13,14,16,17,18,19,24,25,26,27,33,34,37,38,39,40,41,42'

@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
78,141,47,172,125,110,297,47,93,110,62,16,141,172,78,5704,1
187,109,157,110,140,78,110,0,94,109,63,94,203,157,171,5814,1
94,125,125,125,63,93,78,157,94,62,94,125,94,110,93,4233,1
94,47,109,171,140,94,109,125,47,93,78,156,47,94,453,4563,1
94,125,125,141,110,78,110,94,94,62,94,125,94,110,93,4142,1
78,125,94,98,109,63,94,109,93,63,78,78,110,46,63,3677,1
94,31,78,78,15,63,94,125,78,109,47,94,93,63,109,3404,1
78,125,94,78,0,63,94,78,93,63,78,78,110,46,63,3484,1
94,47,156,140,31,109,141,93,15,141,94,250,31,16,114,4112,1
125,0,63,187,109,78,94,94,62,110,93,125,93,93,110,3546,1
94,47,156,140,15,94,94,109,15,141,94,250,31,16,114,4802,1
78,16,141,125,63,78,140,47,47,47,63,62,140,78,16,3298,1
78,78,63,125,78,0,172,47,78,109,63,78,93,109,187,3000,1
78,16,141,94,63,62,78,0,47,47,63,62,140,78,16,4078,1
297,16,203,137,16,94,78,109,157,62,125,94,78,94,78,4810,1
93,32,78,137,0,94,94,94,110,93,79,109,63,78,109,3762,1
297,16,203,140,16,172,78,94,157,62,125,94,78,94,78,4143,1
110,109,203,109,47,110,110,93,156,78,125,109,63,110,93,5623,1
125,47,62,109,109,78,110,94,79,62,94,78,110,94,172,5015,1
110,109,203,125,31,110,78,109,156,78,125,109,63,110,93,6649,1
