@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,7,9,11,13,14,16,17,18,19,20,21,22,24,25,26,27,29,35,38,39,40'

@attribute ft1 numeric
@attribute ft3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
47,31,78,141,125,93,47,94,94,125,78,187,94,63,78,62,3614,1
32,46,63,62,62,110,78,79,79,140,47,63,78,47,16,62,3080,1
47,78,62,93,62,156,47,47,109,94,62,125,78,47,47,78,3515,1
125,47,63,62,78,78,78,79,79,140,47,63,78,78,16,62,3141,1
141,47,78,328,172,47,62,344,140,234,63,47,78,62,31,94,6577,1
109,62,46,31,172,515,62,78,16,93,63,94,62,156,281,79,5172,1
78,78,78,328,172,125,62,344,140,234,63,47,78,79,31,94,4420,1
282,891,78,94,94,109,78,78,63,140,94,78,78,78,219,78,6749,1
297,250,62,62,109,47,62,62,78,140,78,94,344,94,204,62,4935,1
797,235,78,94,109,78,78,78,63,140,94,78,78,62,219,78,6250,1
32,78,62,250,63,266,78,63,125,47,63,109,93,47,78,63,4202,1
16,47,78,78,63,516,63,63,125,15,78,94,547,0,16,78,3891,1
172,16,62,250,31,78,78,63,125,47,63,109,93,78,78,63,7094,1
0,16,109,171,109,78,31,375,156,47,78,63,78,47,31,125,3624,1
16,47,94,47,109,16,63,78,78,47,125,16,0,62,15,94,3281,1
31,62,109,171,125,0,31,375,156,47,78,63,78,94,31,125,4501,1
15,63,93,78,63,94,141,63,94,78,94,93,78,78,32,62,3703,1
16,62,78,63,94,94,234,110,110,93,78,94,32,78,31,78,3610,1
31,63,93,78,63,110,141,63,94,78,94,93,78,78,32,62,3280,1
172,110,109,78,78,125,94,110,47,156,79,94,94,63,94,78,4923,1
359,110,78,93,78,141,93,63,78,109,79,156,140,93,125,93,5672,1
313,15,109,78,94,94,94,110,47,156,79,94,94,93,94,78,4811,1
94,47,63,156,63,47,78,73,78,31,125,79,110,78,31,63,3755,1
16,62,47,47,656,78,62,63,140,0,63,47,62,31,31,78,3739,1
31,32,63,156,94,703,78,73,78,31,125,79,110,78,31,63,5098,1
16,78,47,438,46,140,94,78,109,125,109,109,78,15,0,94,4172,1
0,47,78,78,46,109,63,78,125,31,62,687,78,32,31,94,3593,1
109,31,47,438,94,94,94,78,109,125,109,109,78,94,0,94,5717,1
31,79,93,594,140,109,47,78,47,62,109,125,93,0,32,93,4935,1
16,125,109,78,141,110,62,62,125,62,125,172,94,94,47,93,3515,1
16,31,93,594,109,94,47,78,47,62,109,125,93,93,32,93,6516,1
63,78,31,63,79,78,63,93,78,78,47,78,78,63,79,78,3344,1
15,47,79,47,94,63,62,63,78,94,63,125,47,63,63,78,3125,1
0,47,31,63,94,79,63,93,78,78,47,78,78,78,79,78,2983,1
547,292,79,225,110,140,47,109,78,63,93,47,62,32,47,94,4488,1
16,0,78,62,0,47,78,78,79,78,172,110,78,78,62,47,4343,1
78,297,79,225,141,109,47,109,78,63,93,47,62,47,47,94,4134,1
15,16,93,140,109,125,47,141,78,94,188,47,62,47,63,62,3999,1
