@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,7,8,9,15,17,18,19,21,23,24,25,26,27,29,33,34,35,37,38,39,40,41,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk6 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
93,282,78,234,94,94,47,63,218,79,78,78,63,140,78,78,1
63,297,62,188,62,93,63,78,250,93,62,62,78,140,344,62,1
62,797,78,234,94,141,203,219,375,62,78,78,63,140,78,78,1
93,32,62,110,250,250,63,78,46,187,78,63,125,47,93,63,1
78,16,78,31,78,125,16,63,16,62,63,63,125,15,547,78,1
31,172,62,110,250,844,938,16,32,94,78,63,125,47,93,63,1
156,0,109,32,171,171,16,47,62,156,31,375,156,47,78,125,1
62,16,94,93,47,110,31,375,109,93,63,78,78,47,0,94,1
47,31,109,32,171,94,31,15,125,125,31,375,156,47,78,125,1
125,15,93,94,78,78,203,63,0,78,141,63,94,78,78,62,1
187,16,78,31,63,0,0,63,63,93,234,110,110,93,32,78,1
78,31,93,94,78,94,171,15,16,79,141,63,94,78,78,62,1
125,172,109,250,78,78,110,78,140,62,94,110,47,156,94,78,1
110,359,78,219,93,94,78,110,328,109,93,63,78,109,140,93,1
94,313,109,250,78,93,250,78,187,109,94,110,47,156,94,78,1
63,94,63,93,156,156,31,63,125,141,78,73,78,31,110,63,1
62,16,47,16,47,0,594,73,125,78,62,63,140,0,62,78,1
78,31,63,93,156,0,16,62,31,78,78,73,78,31,110,63,1
109,16,47,391,438,438,31,94,31,110,94,78,109,125,78,94,1
94,0,78,141,78,0,32,78,78,63,63,78,125,31,78,94,1
78,109,47,391,438,0,31,78,31,0,94,78,109,125,78,94,1
125,31,93,485,594,594,47,94,141,125,47,78,47,62,93,93,1
93,16,109,47,78,125,31,78,110,78,62,62,125,62,94,93,1
156,16,93,485,594,234,16,94,78,109,47,78,47,62,93,93,1
62,63,31,125,63,63,171,63,32,78,63,93,78,78,78,78,1
172,15,79,46,47,47,31,93,15,78,62,63,78,94,47,78,1
62,0,31,125,63,46,47,94,16,62,63,93,78,78,78,78,1
93,547,79,128,225,225,40,63,47,15,47,109,78,63,62,94,1
78,16,78,47,62,609,734,109,93,109,78,78,79,78,78,47,1
78,78,79,128,225,0,47,93,31,47,47,109,78,63,62,94,1
63,15,93,63,140,140,188,31,578,78,47,141,78,94,62,62,1
62,78,79,62,78,125,207,141,78,94,47,63,78,125,78,94,1
62,31,93,63,140,47,687,78,453,63,47,141,78,94,62,62,1
78,47,40,271,380,380,47,79,16,94,47,63,125,32,78,78,1
62,31,78,32,78,0,47,63,31,78,63,63,312,63,141,79,1
63,0,40,271,380,125,140,63,0,76,47,63,125,32,78,78,1
78,94,78,140,79,79,250,62,141,62,125,63,63,93,62,78,1
63,47,63,94,62,94,125,63,78,78,62,63,78,110,78,78,1
63,78,78,140,79,78,172,62,125,47,125,63,63,93,62,78,1
126,31,109,31,172,172,31,110,16,109,0,453,140,47,79,78,1
125,46,125,15,78,110,125,453,63,94,93,78,829,31,110,109,1
141,0,109,31,172,172,93,31,78,94,0,453,140,47,79,78,1
62,78,63,78,62,62,94,62,31,93,32,110,78,94,78,63,1
94,0,78,61,52,78,94,110,62,47,78,63,62,110,15,78,1
94,47,63,78,62,79,78,16,47,109,32,110,78,94,78,63,1
