@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,9,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,34,35,36,38,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
78,109,94,391,438,78,109,125,109,94,78,0,94,1
125,31,125,485,594,78,47,62,109,0,78,32,93,1
93,16,78,47,78,62,125,62,125,94,94,47,93,1
156,16,62,485,594,78,47,62,109,93,78,32,93,1
62,63,47,125,63,93,78,78,47,63,46,79,78,1
172,15,78,46,47,63,78,94,63,63,62,63,78,1
62,0,78,125,63,93,78,78,47,78,46,79,78,1
93,547,172,128,225,109,78,63,93,32,94,47,94,1
78,16,109,47,62,78,79,78,172,78,15,62,47,1
78,78,78,128,225,109,78,63,93,47,94,47,94,1
63,15,63,63,140,141,78,94,188,47,93,63,62,1
62,78,94,62,78,63,78,125,62,47,94,31,94,1
62,31,94,63,140,141,78,94,188,94,93,63,62,1
78,47,78,271,380,63,125,32,0,32,62,16,78,1
62,31,78,32,78,63,312,63,94,62,78,31,79,1
63,0,62,271,380,63,125,32,0,79,62,16,78,1
78,94,78,140,79,63,63,93,63,63,62,110,78,1
63,47,63,94,62,63,78,110,62,78,63,47,78,1
63,78,62,140,79,63,63,93,63,78,62,110,78,1
126,31,78,31,172,453,140,47,63,31,78,32,78,1
125,46,109,15,78,78,829,31,93,62,157,31,109,1
141,0,93,31,172,453,140,47,63,109,78,32,78,1
62,78,78,78,62,110,78,94,63,31,78,62,63,1
94,0,47,61,52,63,62,110,62,31,78,47,78,1
94,47,94,78,62,110,78,94,63,78,78,62,63,1
125,16,78,188,78,62,78,110,78,125,78,32,125,1
156,16,109,0,78,63,62,94,62,125,62,235,125,1
109,31,78,188,78,62,78,110,78,125,78,32,125,1
125,16,125,109,203,94,157,31,62,156,78,16,62,1
47,78,31,94,0,78,0,47,63,31,63,31,94,1
