@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,9,10,11,13,14,18,19,20,22,23,25,26,27,28,29,31,35,37,39,42,43'

@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk7 numeric
@attribute dtsk8 numeric
@attribute dtsk10 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,78,78,93,62,79,62,47,94,47,94,62,125,78,47,63,47,1
125,78,47,62,78,46,47,63,125,79,140,47,63,78,62,78,16,1
141,47,47,328,172,157,93,125,250,344,234,63,47,78,125,78,31,1
109,141,62,31,172,344,94,62,63,78,93,63,94,62,16,62,281,1
78,125,78,328,172,47,63,62,94,344,234,63,47,78,31,78,31,1
282,78,891,94,94,63,984,47,62,78,140,94,78,78,297,63,219,1
297,78,250,62,109,78,63,78,78,62,140,78,94,344,484,78,204,1
797,47,235,94,109,219,78,47,94,78,140,94,78,78,375,63,219,1
32,94,78,250,63,78,94,0,93,63,47,63,109,93,78,93,78,1
16,62,47,78,63,63,62,47,78,63,15,78,94,547,78,62,16,1
172,0,16,250,31,16,46,78,94,63,47,63,109,93,63,93,78,1
0,93,16,171,109,47,125,63,110,375,47,78,63,78,78,78,31,1
16,63,47,47,109,375,78,47,125,78,47,125,16,0,16,94,15,1
31,63,62,171,125,15,63,109,16,375,47,78,63,78,62,78,31,1
15,78,63,78,63,63,94,78,78,63,78,94,93,78,78,93,32,1
16,94,62,63,94,63,62,78,94,110,93,78,94,32,32,94,31,1
31,78,63,78,63,15,78,62,94,63,78,94,93,78,16,93,32,1
172,109,110,78,78,78,156,63,47,110,156,79,94,94,422,93,94,1
359,78,110,93,78,110,93,63,109,63,109,79,156,140,547,110,125,1
313,63,15,78,94,78,63,78,156,110,156,79,94,94,203,93,94,1
94,47,47,156,63,63,469,78,172,73,31,125,79,110,78,62,31,1
16,63,62,47,656,73,166,78,62,63,0,63,47,62,47,63,31,1
31,78,32,156,94,62,141,63,47,73,31,125,79,110,172,62,31,1
16,109,78,438,46,94,62,94,79,78,125,109,109,78,78,78,0,1
0,78,47,78,46,78,94,15,47,78,31,62,687,78,110,78,31,1
109,94,31,438,94,78,47,94,687,78,125,109,109,78,62,78,0,1
31,125,79,594,140,94,47,62,63,78,62,109,125,93,125,78,32,1
16,78,125,78,141,78,79,0,109,62,62,125,172,94,15,94,47,1
16,62,31,594,109,94,94,94,172,78,62,109,125,93,125,78,32,1
63,47,78,63,79,63,109,78,78,93,78,47,78,78,78,46,79,1
15,78,47,47,94,93,63,63,109,63,94,63,125,47,125,62,63,1
0,78,47,63,94,94,47,62,125,93,78,47,78,78,62,46,79,1
547,172,292,225,110,63,78,78,94,109,63,93,47,62,93,94,47,1
16,109,0,62,0,109,63,32,125,78,78,172,110,78,0,15,62,1
78,78,297,225,141,93,32,172,110,109,63,93,47,62,78,94,47,1
15,63,16,140,109,31,141,94,62,141,94,188,47,62,109,93,63,1
78,94,78,78,109,141,62,47,62,63,125,62,93,78,438,94,31,1
31,94,62,140,94,78,62,78,93,141,94,188,47,62,47,93,63,1
47,78,52,380,125,79,15,62,62,63,32,0,47,78,94,62,16,1
31,78,31,78,125,63,157,32,78,63,63,94,62,141,32,78,31,1
0,62,16,380,94,63,0,32,62,63,32,0,47,78,31,62,16,1
94,78,563,79,93,62,125,62,63,63,93,63,63,62,125,62,110,1
47,63,109,62,125,63,62,63,62,63,110,62,110,78,63,63,47,1
78,62,78,79,125,62,63,83,110,63,93,63,63,62,78,62,110,1
31,78,31,172,156,110,46,93,63,453,47,63,32,79,94,78,32,1
46,109,0,78,156,453,94,31,62,78,31,93,109,110,47,157,31,1
0,93,32,172,157,31,78,94,109,453,47,63,32,79,0,78,32,1
78,78,16,62,94,62,47,94,31,110,94,63,141,78,79,78,62,1
0,47,31,52,188,110,62,31,78,63,110,62,141,15,31,78,47,1
47,94,62,62,78,16,94,78,141,110,94,63,141,78,47,78,62,1
16,78,63,78,94,94,62,78,125,62,110,78,93,110,125,78,32,1
16,109,31,78,109,62,94,125,125,63,94,62,125,235,0,62,235,1
31,78,47,78,94,0,62,94,125,62,110,78,93,110,31,78,32,1
16,125,0,203,62,31,78,31,31,94,31,62,31,47,110,78,16,1
78,31,109,0,31,94,78,156,31,78,47,63,78,16,125,63,31,1
79,31,78,203,125,125,0,109,78,94,31,62,31,47,0,78,16,1
62,94,62,78,88,78,282,407,78,93,140,79,78,109,391,78,109,1
63,109,94,78,78,93,63,78,78,93,172,78,213,110,516,94,125,1
0,407,15,78,250,32,93,78,213,93,140,79,78,109,235,78,109,1
47,140,32,110,110,31,47,110,78,79,47,15,63,63,5,46,109,1
63,93,32,31,94,79,188,48,93,63,78,62,31,31,94,16,109,1
15,110,15,110,31,93,32,79,31,79,47,15,63,63,110,46,109,1
16,109,32,157,94,109,203,93,111,63,203,63,47,171,93,141,15,1
110,94,125,47,172,63,93,110,109,62,141,62,47,78,140,125,63,1
110,93,63,157,110,94,78,78,47,63,203,63,47,171,110,141,15,1
93,94,93,125,125,94,109,93,93,94,94,78,109,93,47,109,62,1
78,94,78,109,171,94,94,94,94,78,47,110,187,453,31,109,94,1
16,93,63,125,141,47,140,78,187,94,94,78,109,93,78,109,62,1
63,63,62,94,98,78,94,63,78,78,110,46,94,63,94,110,62,1
32,62,47,78,78,78,62,63,78,47,93,78,125,109,16,78,109,1
