@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,9,10,13,14,16,17,18,22,23,24,25,26,29,30,31,33,34,37,39,41,42,43'

@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute gender {1,2}

@data
93,16,32,171,109,63,62,63,78,31,47,16,78,78,78,1
63,47,93,47,109,94,109,47,78,63,47,109,0,16,94,1
63,62,32,171,125,62,125,109,94,31,47,16,78,62,78,1
78,63,94,78,63,141,0,78,203,141,78,16,78,78,93,1
94,62,31,63,94,94,63,78,31,234,93,93,32,32,94,1
78,63,94,78,63,109,16,62,94,141,78,16,78,16,93,1
109,110,250,78,78,125,140,63,78,94,156,265,94,422,93,1
78,110,219,93,78,62,328,63,141,93,109,94,140,547,110,1
63,15,250,78,94,94,187,78,62,94,156,265,94,203,93,1
47,47,93,156,63,78,125,78,141,78,31,15,110,78,62,1
63,62,16,47,656,62,125,78,16,62,0,110,62,47,63,1
78,32,93,156,94,94,31,63,62,78,31,15,110,172,62,1
109,78,391,438,46,78,31,94,109,94,125,16,78,78,78,1
78,47,141,78,46,31,78,15,110,63,31,94,78,110,78,1
94,31,391,438,94,110,31,94,31,94,125,16,78,62,78,1
125,79,485,594,140,78,141,62,125,47,62,16,93,125,78,1
78,125,47,78,141,32,110,0,109,62,62,78,94,15,94,1
62,31,485,594,109,125,78,94,32,47,62,16,93,125,78,1
47,78,125,63,79,62,32,78,78,63,78,172,78,78,46,1
78,47,46,47,94,78,15,63,125,62,94,62,47,125,62,1
78,47,125,63,94,62,16,62,78,63,78,172,78,62,46,1
172,292,128,225,110,63,47,78,203,47,63,15,62,93,94,1
109,0,47,62,0,79,93,32,78,78,78,94,78,0,15,1
78,297,128,225,141,94,31,172,79,47,63,15,62,78,94,1
63,16,63,140,109,63,578,94,78,47,94,78,62,109,93,1
94,78,62,78,109,94,78,47,93,47,125,110,78,438,94,1
94,62,63,140,94,125,453,78,94,47,94,78,62,47,93,1
78,52,271,380,125,47,16,62,172,47,32,15,78,94,62,1
78,31,32,78,125,62,31,32,125,63,63,94,141,32,78,1
62,16,271,380,94,62,0,32,62,47,32,15,78,31,62,1
78,563,140,79,93,47,141,62,47,125,93,125,62,125,62,1
63,109,94,62,125,78,78,63,156,62,110,62,78,63,63,1
62,78,140,79,125,63,125,83,78,125,93,125,62,78,62,1
78,31,31,172,156,94,16,93,187,0,47,46,79,94,78,1
109,0,15,78,156,31,63,31,0,93,31,78,110,47,157,1
93,32,31,172,157,94,78,94,31,0,47,46,79,0,78,1
78,16,78,62,94,78,31,94,93,32,94,0,78,79,78,1
47,31,61,52,188,63,62,31,0,78,110,94,15,31,78,1
94,62,78,62,78,94,47,78,63,32,94,0,78,47,78,1
78,63,188,78,94,110,31,78,250,78,110,125,110,125,78,1
109,31,0,78,109,156,31,125,16,78,94,94,235,0,62,1
78,47,188,78,94,156,16,94,156,78,110,125,110,31,78,1
125,0,109,203,62,31,63,31,125,16,31,31,47,110,78,1
31,109,94,0,31,0,62,156,141,78,47,156,16,125,63,1
31,78,109,203,125,125,719,109,0,16,31,31,47,0,78,1
94,62,203,78,88,78,344,407,94,234,140,47,109,391,78,1
109,94,157,78,78,78,172,78,156,281,172,94,110,516,94,1
407,15,203,78,250,94,203,78,78,234,140,47,109,235,78,1
140,32,79,110,110,78,16,110,16,63,47,31,63,5,46,1
93,32,94,31,94,16,78,48,16,31,78,109,31,94,16,1
110,15,79,110,31,625,32,79,16,63,47,31,63,110,46,1
109,32,109,157,94,110,94,93,203,94,203,157,171,93,141,1
94,125,141,47,172,125,125,110,157,93,141,172,78,140,125,1
93,63,109,157,110,141,140,78,125,94,203,157,171,110,141,1
94,93,125,125,125,109,63,93,125,94,94,110,93,47,109,1
94,78,47,109,171,110,140,94,16,47,47,94,453,31,109,1
93,63,125,125,141,125,110,78,110,94,94,110,93,78,109,1
63,62,125,94,98,78,109,63,110,93,110,46,63,94,110,1
62,47,31,78,78,110,15,63,109,78,93,63,109,16,78,1
63,15,125,94,78,93,0,63,110,93,110,46,63,31,110,1
171,16,47,156,140,94,31,109,203,15,31,16,114,109,125,1
110,47,0,63,187,62,109,78,16,62,93,93,110,140,78,1
109,32,47,156,140,141,15,94,62,15,31,16,114,0,125,1
78,31,16,141,125,78,63,78,157,47,140,78,16,110,110,1
125,16,78,63,125,78,78,0,79,78,93,109,187,15,94,1
78,31,16,141,94,140,63,62,78,47,140,78,16,141,110,1
109,203,16,203,137,125,16,94,125,157,78,94,78,109,109,1
94,31,32,78,137,109,0,94,46,110,63,78,109,78,78,1
94,16,16,203,140,47,16,172,109,157,78,94,78,15,109,1
109,141,109,203,109,125,47,110,468,156,63,110,93,94,94,1
109,485,47,62,109,46,109,78,15,79,110,94,172,78,78,1
110,78,109,203,125,141,31,110,46,156,63,110,93,484,94,1
141,47,31,78,31,15,47,31,16,94,125,47,63,78,0,1
47,63,156,16,31,47,79,31,32,31,0,109,31,78,31,1
31,63,31,78,31,78,32,93,47,94,125,47,63,79,0,1
141,15,31,125,125,63,125,203,125,125,141,16,63,109,15,1
94,15,110,94,125,0,16,46,47,47,93,78,156,94,0,1
203,16,31,125,15,250,78,453,0,125,141,16,63,63,15,1
63,31,172,78,78,78,79,62,78,40,125,94,62,94,78,1
63,297,62,63,47,94,93,63,62,47,109,176,13,78,62,1
62,47,172,78,78,78,140,63,94,40,125,94,62,141,78,1
109,297,79,109,78,47,234,78,94,141,16,203,63,78,63,2
93,203,63,62,141,94,109,32,110,78,16,63,94,265,78,2
78,172,79,109,94,125,109,109,94,141,16,203,63,219,63,2
62,94,156,250,141,109,62,94,235,156,62,47,78,63,93,2
63,62,47,62,141,47,125,156,47,63,78,62,266,78,110,2
94,47,156,250,94,63,15,62,47,156,62,47,78,110,93,2
78,16,141,250,47,62,47,62,94,63,141,78,16,78,63,2
94,31,172,16,47,47,125,16,47,15,94,63,125,78,63,2
62,16,141,250,47,94,203,78,47,63,141,78,16,15,63,2
62,32,31,109,63,62,32,78,94,16,47,47,62,78,47,2
63,15,16,47,94,31,47,16,94,62,15,156,16,78,63,2
78,15,31,109,94,125,78,78,31,16,47,47,62,15,47,2
78,94,31,140,62,93,16,94,94,125,94,94,109,78,78,2
94,62,62,78,62,31,109,125,32,78,109,78,78,78,78,2
94,47,31,140,78,109,16,78,31,125,94,94,109,94,78,2
69,166,63,80,110,89,36,79,141,47,111,78,109,37,33,2
98,49,31,78,65,89,24,81,406,58,94,62,141,13,78,2
79,21,63,80,103,11,73,31,89,47,111,78,109,15,33,2
94,172,63,172,109,79,78,78,63,110,63,47,125,63,78,2
78,62,16,78,109,109,94,15,110,78,47,94,62,94,109,2
78,109,63,172,109,93,172,94,109,110,63,47,125,266,78,2
63,0,32,187,78,63,31,78,78,16,78,15,78,88,109,2
94,16,16,62,78,47,117,20,15,47,31,172,15,32,63,2
78,16,32,187,63,63,15,78,47,16,78,15,78,15,109,2
63,94,219,62,47,63,109,47,94,547,125,203,62,188,47,2
47,125,63,78,78,79,125,62,78,31,110,62,485,172,63,2
47,125,219,62,109,94,219,47,79,547,125,203,62,125,47,2
78,109,63,109,125,94,0,94,125,63,93,47,78,78,79,2
78,63,31,110,187,16,62,47,125,78,110,94,62,78,78,2
94,15,63,109,110,94,31,78,16,63,93,47,78,31,79,2
110,93,31,79,140,78,16,46,94,31,62,15,94,78,94,2
62,47,32,78,124,62,94,31,78,63,93,78,0,32,93,2
46,110,31,79,125,78,16,94,62,31,62,15,94,32,94,2
79,46,15,140,90,109,0,62,140,47,94,0,78,78,94,2
62,579,32,94,93,31,140,16,0,63,94,78,31,15,62,2
62,32,15,140,125,62,31,78,31,47,94,0,78,15,94,2
46,188,62,78,79,62,16,62,78,94,109,234,31,78,62,2
47,94,47,63,141,110,62,47,125,32,125,63,94,78,47,2
62,94,62,78,110,62,16,62,110,94,109,234,31,47,62,2
109,47,62,172,100,94,46,63,93,78,62,109,94,93,94,2
94,31,32,78,110,16,141,16,94,47,31,78,47,78,78,2
63,78,62,172,125,79,15,94,16,78,62,109,94,46,94,2
62,63,63,78,79,63,78,62,124,109,93,78,62,31,63,2
62,63,78,63,62,78,125,47,62,62,94,93,78,47,78,2
62,47,63,78,63,62,78,63,78,109,93,78,62,31,63,2
31,16,47,125,47,93,16,78,94,15,63,110,62,47,78,2
78,16,93,32,47,609,47,16,93,31,62,109,62,94,16,2
78,0,47,125,62,31,78,94,609,15,63,110,62,93,78,2
78,94,157,78,62,79,78,93,266,141,78,63,93,15,62,2
78,141,0,94,78,125,141,94,47,94,110,78,94,47,78,2
93,79,157,78,94,140,63,78,125,141,78,63,93,156,62,2
63,93,94,78,63,63,62,47,110,156,94,188,78,78,47,2
78,78,63,62,78,62,94,78,109,63,109,62,125,78,63,2
47,109,94,78,47,63,47,78,62,156,94,188,78,47,47,2
125,46,0,78,180,63,16,78,141,78,109,93,0,94,78,2
125,110,78,47,187,62,47,31,165,94,125,63,141,94,93,2
78,15,0,78,172,125,94,94,62,78,109,93,0,31,78,2
94,94,62,109,125,94,141,31,94,63,0,93,32,78,78,2
94,109,78,31,125,78,78,31,62,94,172,125,500,78,63,2
31,78,62,109,94,78,47,109,78,63,0,93,32,94,78,2
