@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,7,8,9,11,16,17,18,19,23,24,25,26,27,29,39,41,42,43'

@attribute dtsk2 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute gender {1,2}

@data
78,94,94,94,109,94,15,79,94,109,94,94,125,78,78,594,125,78,47,93,1
78,110,78,94,78,94,31,78,62,63,109,94,78,78,109,78,63,78,31,78,1
94,94,94,94,78,94,31,78,78,109,94,94,125,78,78,594,125,94,172,93,1
93,141,390,390,63,110,93,219,109,46,985,203,62,141,47,172,359,125,94,78,1
109,172,31,0,15,187,125,125,94,94,109,16,110,78,157,282,15,344,406,156,1
78,141,390,0,46,140,187,94,94,46,985,203,62,141,47,172,359,391,31,78,1
141,94,156,156,63,93,31,110,94,78,234,234,63,157,109,94,63,62,125,94,1
156,94,62,0,78,125,94,62,641,78,78,156,47,109,141,78,140,32,93,78,1
94,94,156,125,62,94,62,109,94,78,234,234,63,157,109,94,63,109,156,94,1
94,62,110,110,15,110,109,79,125,297,235,297,31,141,93,282,109,344,62,93,1
125,94,94,125,15,141,125,344,125,78,94,172,31,140,78,141,15,62,94,94,1
94,62,110,0,15,109,188,109,94,297,235,297,31,141,93,282,109,94,141,93,1
78,63,109,109,16,62,47,63,63,94,94,109,16,31,94,47,125,15,78,62,1
78,78,31,0,15,62,63,15,93,78,62,94,47,94,109,78,110,62,31,63,1
16,63,109,125,16,63,16,79,78,94,94,109,16,31,94,47,125,94,46,62,1
102,118,91,91,259,144,78,16,125,156,78,110,94,187,110,343,125,110,31,94,1
94,110,63,78,172,94,16,110,16,79,93,94,125,78,125,125,250,110,15,156,1
109,118,91,94,223,125,16,78,171,156,78,110,94,187,110,343,125,109,16,94,1
78,94,63,63,62,63,32,46,31,78,79,63,109,140,78,16,62,79,15,15,1
125,78,62,515,63,78,31,79,15,63,125,78,79,78,109,172,15,63,47,109,1
78,94,63,94,62,79,172,16,110,78,79,63,109,140,78,16,62,79,78,15,1
63,109,78,78,125,47,16,63,125,265,78,141,46,32,62,32,109,41,65,78,1
63,94,94,78,125,203,116,41,63,31,79,156,47,94,126,46,219,47,63,78,1
78,109,78,62,125,110,31,62,94,265,78,141,46,32,62,32,109,46,47,78,1
78,78,141,141,16,125,16,94,109,47,94,94,125,78,187,16,94,109,32,79,1
94,78,62,172,15,94,63,109,78,63,79,78,110,78,110,93,32,78,16,94,1
110,78,141,125,109,125,15,63,63,47,94,94,125,78,187,16,94,63,62,79,1
47,63,62,62,141,62,110,78,78,78,79,79,140,47,63,15,78,47,94,78,1
94,62,93,78,157,62,203,47,78,47,47,109,94,62,125,47,78,47,47,63,1
62,63,62,63,140,78,31,63,63,78,79,79,140,47,63,15,78,78,62,78,1
47,78,328,328,62,172,78,125,422,62,344,140,234,63,47,125,78,62,125,78,1
110,46,31,0,62,172,235,62,359,62,78,16,93,63,94,78,62,156,16,62,1
78,78,328,0,63,172,141,62,94,62,344,140,234,63,47,125,78,79,31,78,1
78,78,94,94,47,94,218,47,79,78,78,63,140,94,78,828,78,78,297,63,1
62,62,62,93,63,109,250,78,93,62,62,78,140,78,94,62,344,94,484,78,1
62,78,94,141,203,109,375,47,62,78,78,63,140,94,78,828,78,62,375,63,1
94,62,250,250,63,63,46,0,187,78,63,125,47,63,109,32,93,47,78,93,1
109,78,78,125,16,63,16,47,62,63,63,125,15,78,94,93,547,0,78,62,1
78,62,250,844,938,31,32,78,94,78,63,125,47,63,109,32,93,78,63,93,1
93,109,171,171,16,109,62,63,156,31,375,156,47,78,63,16,78,47,78,78,1
16,94,47,110,31,109,109,47,93,63,78,78,47,125,16,109,0,62,16,94,1
93,109,171,94,31,125,125,109,125,31,375,156,47,78,63,16,78,94,62,78,1
78,93,78,78,203,63,0,78,78,141,63,94,78,94,93,16,78,78,78,93,1
63,78,63,0,0,94,63,78,93,234,110,110,93,78,94,93,32,78,32,94,1
62,93,78,94,171,63,16,62,79,141,63,94,78,94,93,16,78,78,16,93,1
109,109,78,78,110,78,140,63,62,94,110,47,156,79,94,265,94,63,422,93,1
78,78,93,94,78,78,328,63,109,93,63,78,109,79,156,94,140,93,547,110,1
78,109,78,93,250,94,187,78,109,94,110,47,156,79,94,265,94,93,203,93,1
47,63,156,156,31,63,125,78,141,78,73,78,31,125,79,15,110,78,78,62,1
47,47,47,0,594,656,125,78,78,62,63,140,0,63,47,110,62,31,47,63,1
63,63,156,0,16,94,31,63,78,78,73,78,31,125,79,15,110,78,172,62,1
109,47,438,438,31,46,31,94,110,94,78,109,125,109,109,16,78,15,78,78,1
110,78,78,0,32,46,78,15,63,63,78,125,31,62,687,94,78,32,110,78,1
93,47,438,0,31,94,31,94,0,94,78,109,125,109,109,16,78,94,62,78,1
125,93,594,594,47,140,141,62,125,47,78,47,62,109,125,16,93,0,125,78,1
125,109,78,125,31,141,110,0,78,62,62,125,62,125,172,78,94,94,15,94,1
63,93,594,234,16,109,78,94,109,47,78,47,62,109,125,16,93,93,125,78,1
47,31,63,63,171,79,32,78,78,63,93,78,78,47,78,172,78,63,78,46,1
