@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,4,5,6,7,8,9,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,34,35,37,38,39,40,41,42,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk8 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtsk12 numeric
@attribute gender {1,2}

@data
47,63,78,109,78,78,94,94,31,79,1
62,93,62,32,78,79,110,78,93,156,1
63,93,78,109,93,78,94,94,31,79,1
109,109,62,313,94,47,62,47,32,78,1
78,78,62,16,78,62,47,63,94,16,1
32,16,62,313,90,47,62,47,32,78,1
78,62,78,109,78,94,63,93,63,78,1
63,63,47,62,63,47,47,109,47,16,1
78,62,78,109,79,94,63,93,63,78,1
119,156,78,172,94,93,109,31,94,78,1
94,94,78,15,63,47,110,47,78,63,1
15,16,78,172,62,93,109,31,94,78,1
78,94,63,141,125,63,93,156,47,16,1
47,78,47,47,187,62,16,78,47,156,1
235,328,63,141,63,63,93,156,47,16,1
79,109,78,94,63,94,78,63,78,78,1
94,78,78,16,62,47,78,62,63,79,1
78,78,78,94,78,94,78,63,78,78,1
109,125,63,172,94,62,141,78,157,78,1
125,47,109,16,109,93,94,94,62,47,1
93,109,63,172,78,62,141,78,157,78,1
94,141,93,16,4,78,16,79,62,78,1
110,15,110,78,172,62,78,32,141,125,1
31,15,93,16,72,78,16,79,62,78,1
62,125,62,16,78,78,94,31,47,94,1
62,78,78,32,63,47,94,16,109,94,1
16,391,62,16,77,78,94,31,47,94,1
94,110,78,63,109,93,94,78,109,109,1
110,78,109,31,93,79,75,86,93,47,1
109,62,78,63,110,93,94,78,109,109,1
78,157,62,62,140,78,31,141,62,484,1
94,94,250,63,31,78,15,94,109,62,1
94,93,62,62,78,78,31,141,62,484,1
47,63,16,63,78,93,172,15,63,125,1
78,110,110,15,62,78,78,15,78,16,1
16,32,16,63,78,93,172,15,63,125,1
47,125,78,156,78,110,156,47,125,62,1
250,125,78,15,62,62,203,31,109,343,1
78,156,78,156,78,110,156,47,125,62,1
78,94,63,62,78,62,78,47,78,110,1
110,78,47,47,62,62,156,63,125,156,1
94,62,63,62,110,62,78,47,78,110,1
109,109,93,32,79,63,32,78,79,15,1
63,78,78,15,16,141,110,15,93,32,1
94,15,93,32,62,63,32,78,79,15,1
78,93,63,15,94,62,63,93,63,94,1
94,94,110,15,15,62,63,94,62,32,1
94,78,63,15,78,62,63,93,63,94,1
93,94,94,78,94,78,94,94,203,78,1
250,125,93,16,47,79,265,78,110,16,1
140,94,94,78,156,78,94,94,203,78,1
562,78,94,0,94,94,94,125,78,125,1
93,78,110,78,62,109,94,78,78,63,1
156,78,94,0,78,94,94,125,78,125,1
125,109,141,265,109,985,203,62,141,359,1
38,297,172,250,94,109,16,110,78,15,1
16,344,141,265,94,985,203,62,141,359,1
94,110,94,78,94,234,234,63,157,63,1
78,94,94,16,641,78,156,47,109,140,1
125,32,94,78,94,234,234,63,157,63,1
141,93,62,391,125,235,297,31,141,109,1
93,93,94,47,125,94,172,31,140,15,1
234,62,62,391,94,235,297,31,141,109,1
62,109,63,15,63,94,109,16,31,125,1
