@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,4,5,6,7,8,9,13,14,16,17,18,20,21,23,24,25,26,27,28,29,30,34,35,38,39,40,41,42,43'

@attribute dtfk1 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute dtfk8 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute gender {1,2}

@data
78,78,47,62,0,79,109,79,78,172,78,78,1
78,79,128,225,141,94,47,78,63,93,62,47,1
63,93,63,140,109,63,78,78,94,188,62,47,1
62,79,62,78,109,94,94,78,125,62,78,47,1
62,93,63,140,94,125,63,78,94,188,62,94,1
78,40,271,380,125,47,94,125,32,0,78,32,1
62,78,32,78,125,62,78,312,63,94,141,62,1
63,40,271,380,94,62,76,125,32,0,78,79,1
78,78,140,79,93,47,62,63,93,63,62,63,1
63,63,94,62,125,78,78,78,110,62,78,78,1
63,78,140,79,125,63,47,63,93,63,62,78,1
126,109,31,172,156,94,109,140,47,63,79,31,1
125,125,15,78,156,31,94,829,31,93,110,62,1
141,109,31,172,157,94,94,140,47,63,79,109,1
62,63,78,62,94,78,93,78,94,63,78,31,1
94,78,61,52,188,63,47,62,110,62,15,31,1
94,63,78,62,78,94,109,78,94,63,78,78,1
125,93,188,78,94,110,109,78,110,78,110,125,1
156,78,0,78,109,156,78,62,94,62,235,125,1
109,93,188,78,94,156,78,78,110,78,110,125,1
125,47,109,203,62,31,47,157,31,62,47,156,1
47,344,94,0,31,0,125,0,47,63,16,31,1
16,47,109,203,125,125,78,157,31,62,47,94,1
141,78,203,78,88,78,78,94,140,79,109,78,1
109,62,157,78,78,78,109,94,172,78,110,78,1
110,78,203,78,250,94,78,94,140,79,109,93,1
156,78,79,110,110,78,94,63,47,15,63,48,1
15,15,94,31,94,16,46,16,78,62,31,16,1
63,78,79,110,31,625,93,63,47,15,63,16,1
156,187,109,157,94,110,218,94,203,63,171,110,1
125,78,141,47,172,125,297,16,141,62,78,531,1
250,187,109,157,110,141,110,94,203,63,171,93,1
125,94,125,125,125,109,78,125,94,78,93,94,1
141,94,47,109,171,110,109,156,47,110,453,94,1
109,94,125,125,141,125,110,125,94,78,93,94,1
78,78,125,94,98,78,94,78,110,46,63,63,1
109,94,31,78,78,110,94,94,93,78,109,63,1
78,78,125,94,78,93,94,78,110,46,63,63,1
93,94,47,156,140,94,141,250,31,125,114,78,1
94,125,0,63,187,62,94,125,93,94,110,62,1
250,94,47,156,140,141,94,250,31,125,114,125,1
125,78,16,141,125,78,140,62,140,63,16,0,1
78,78,78,63,125,78,172,78,93,32,187,94,1
78,78,16,141,94,140,78,62,140,63,16,78,1
93,297,16,203,137,125,78,94,78,109,78,94,1
172,93,32,78,137,109,94,109,63,141,109,15,1
62,297,16,203,140,47,78,94,78,109,78,78,1
94,110,109,203,109,125,110,109,63,78,93,78,1
500,125,47,62,109,46,110,78,110,109,172,79,1
93,110,109,203,125,141,78,109,63,78,93,94,1
156,109,31,78,31,15,78,47,125,47,63,31,1
78,31,156,16,31,47,31,94,0,62,31,32,1
78,109,31,78,31,78,16,47,125,47,63,0,1
110,110,31,125,125,63,203,47,141,31,63,46,1
47,16,110,94,125,0,16,0,93,47,156,0,1
32,110,31,125,15,250,94,47,141,31,63,93,1
94,63,172,78,78,78,63,47,125,63,62,63,1
78,79,62,63,47,94,78,78,109,63,13,63,1
63,63,172,78,78,78,74,47,125,63,62,62,1
78,109,79,109,78,47,110,140,16,62,63,32,2
78,125,63,62,141,94,78,109,16,78,94,78,2
78,109,79,109,94,125,63,140,16,62,63,78,2
375,94,156,250,141,109,109,94,62,94,78,156,2
94,47,47,62,141,47,78,79,78,62,266,16,2
171,94,156,250,94,63,109,94,62,94,78,78,2
109,94,141,250,47,62,47,32,141,31,16,16,2
63,78,172,16,47,47,94,31,94,31,125,16,2
32,94,141,250,47,94,91,32,141,31,16,110,2
62,78,31,109,63,62,62,218,47,16,62,16,2
47,62,16,47,94,31,62,94,15,62,16,16,2
63,78,31,109,94,125,62,218,47,16,62,47,2
172,94,31,140,62,93,94,62,94,62,109,125,2
219,94,62,78,62,31,94,94,109,62,78,16,2
140,94,31,140,78,109,62,62,94,62,109,78,2
57,90,63,80,110,89,79,69,111,41,109,81,2
192,78,31,78,65,89,94,78,94,94,141,79,2
74,90,63,80,103,11,47,69,111,41,109,78,2
110,109,63,172,109,79,109,156,63,141,125,15,2
94,156,16,78,109,109,110,110,47,62,62,410,2
187,109,63,172,109,93,141,156,63,141,125,125,2
93,93,32,187,78,63,78,94,78,47,78,20,2
125,62,16,62,78,47,94,94,31,63,15,32,2
78,93,32,187,63,63,94,94,78,47,78,125,2
62,78,219,62,47,63,94,79,125,62,62,62,2
62,62,63,78,78,79,63,93,110,93,485,47,2
31,78,219,62,109,94,63,79,125,62,62,63,2
109,125,63,109,125,94,94,78,93,203,78,47,2
94,94,31,110,187,16,109,109,110,62,62,78,2
125,125,63,109,110,94,94,78,93,203,78,94,2
93,94,31,79,140,78,110,125,62,109,94,31,2
94,78,32,78,124,62,94,79,93,140,0,62,2
79,94,31,79,125,78,78,125,62,109,94,62,2
94,79,15,140,90,109,110,94,94,47,78,16,2
94,78,32,94,93,31,78,78,94,78,31,78,2
62,79,15,140,125,62,109,94,94,47,78,94,2
63,47,62,78,79,62,156,63,109,62,31,47,2
63,93,47,63,141,110,78,62,125,63,94,16,2
203,47,62,78,110,62,47,63,109,62,31,62,2
140,94,62,172,100,94,94,141,62,125,94,16,2
125,93,32,78,110,16,94,109,31,110,47,16,2
31,94,62,172,125,79,516,141,62,125,94,79,2
63,62,63,78,79,63,78,78,93,63,62,47,2
78,63,78,63,62,78,63,78,94,63,78,78,2
94,62,63,78,63,62,78,78,93,63,62,63,2
109,78,47,125,47,93,78,47,63,109,62,16,2
47,16,93,32,47,609,16,31,62,79,62,0,2
94,78,47,125,62,31,78,47,63,109,62,16,2
94,62,157,78,62,79,94,79,78,78,93,94,2
94,93,0,94,78,125,110,78,110,78,94,78,2
110,62,157,78,94,140,79,79,78,78,93,94,2
94,63,94,78,63,63,63,78,94,63,78,78,2
94,62,63,62,78,62,78,63,109,78,125,63,2
63,63,94,78,47,63,62,78,94,63,78,47,2
78,156,0,78,180,63,266,31,109,47,0,31,2
94,15,78,47,187,62,156,15,125,46,141,16,2
47,156,0,78,172,125,31,31,109,47,0,63,2
62,78,62,109,125,94,110,141,0,62,32,31,2
78,47,78,31,125,78,156,63,172,16,500,78,2
78,78,62,109,94,78,63,141,0,62,32,78,2
