@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,4,5,6,7,8,9,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,34,35,37,38,39,40,41,42,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk8 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtsk12 numeric
@attribute gender {1,2}

@data
63,78,78,140,79,47,63,63,93,63,62,1
126,125,109,31,172,109,453,140,47,63,79,1
125,125,125,15,78,94,78,829,31,93,110,1
141,62,109,31,172,94,453,140,47,63,79,1
62,110,63,78,62,93,110,78,94,63,78,1
94,78,78,61,52,47,63,62,110,62,15,1
94,31,63,78,62,109,110,78,94,63,78,1
125,94,93,188,78,109,62,78,110,78,110,1
156,62,78,0,78,78,63,62,94,62,235,1
109,125,93,188,78,78,62,78,110,78,110,1
125,109,47,109,203,47,94,157,31,62,47,1
47,16,344,94,0,125,78,0,47,63,16,1
16,31,47,109,203,78,94,157,31,62,47,1
141,110,78,203,78,78,93,94,140,79,109,1
109,93,62,157,78,109,93,94,172,78,110,1
110,78,78,203,78,78,93,94,140,79,109,1
156,47,78,79,110,94,79,63,47,15,63,1
15,31,15,94,31,46,63,16,78,62,31,1
63,16,78,79,110,93,79,63,47,15,63,1
156,125,187,109,157,218,63,94,203,63,171,1
125,109,78,141,47,297,62,16,141,62,78,1
250,531,187,109,157,110,63,94,203,63,171,1
125,125,94,125,125,78,94,125,94,78,93,1
141,125,94,47,109,109,78,156,47,110,453,1
109,94,94,125,125,110,94,125,94,78,93,1
78,109,78,125,94,94,78,78,110,46,63,1
109,62,94,31,78,94,47,94,93,78,109,1
78,63,78,125,94,94,78,78,110,46,63,1
93,110,94,47,156,141,94,250,31,125,114,1
94,109,125,0,63,94,93,125,93,94,110,1
250,62,94,47,156,94,94,250,31,125,114,1
125,78,78,16,141,140,63,62,140,63,16,1
78,94,78,78,63,172,63,78,93,32,187,1
78,94,78,16,141,78,63,62,140,63,16,1
93,94,297,16,203,78,125,94,78,109,78,1
172,78,93,32,78,94,79,109,63,141,109,1
62,15,297,16,203,78,125,94,78,109,78,1
94,125,110,109,203,110,125,109,63,78,93,1
500,156,125,47,62,110,94,78,110,109,172,1
93,79,110,109,203,78,125,109,63,78,93,1
156,78,109,31,78,78,62,47,125,47,63,1
78,32,31,156,16,31,62,94,0,62,31,1
78,32,109,31,78,16,62,47,125,47,63,1
110,109,110,31,125,203,93,47,141,31,63,1
47,109,16,110,94,16,79,0,93,47,156,1
32,0,110,31,125,94,93,47,141,31,63,1
94,62,63,172,78,63,106,47,125,63,62,1
78,62,79,62,63,78,31,78,109,63,13,1
63,63,63,172,78,74,106,47,125,63,62,1
78,110,109,79,109,110,109,140,16,62,63,2
78,78,125,63,62,78,63,109,16,78,94,2
78,78,109,79,109,63,109,140,16,62,63,2
375,78,94,156,250,109,62,94,62,94,78,2
94,78,47,47,62,78,63,79,78,62,266,2
171,16,94,156,250,109,62,94,62,94,78,2
109,172,94,141,250,47,78,32,141,31,16,2
63,109,78,172,16,94,78,31,94,31,125,2
32,16,94,141,250,91,78,32,141,31,16,2
62,109,78,31,109,62,359,218,47,16,62,2
47,94,62,16,47,62,94,94,15,62,16,2
63,16,78,31,109,62,359,218,47,16,62,2
172,94,94,31,140,94,109,62,94,62,109,2
219,94,94,62,78,94,63,94,109,62,78,2
140,16,94,31,140,62,109,62,94,62,109,2
57,113,90,63,80,79,78,69,111,41,109,2
192,79,78,31,78,94,150,78,94,94,141,2
74,79,90,63,80,47,78,69,111,41,109,2
110,125,109,63,172,109,78,156,63,141,125,2
94,94,156,16,78,110,63,110,47,62,62,2
187,410,109,63,172,141,78,156,63,141,125,2
93,125,93,32,187,78,78,94,78,47,78,2
125,94,62,16,62,94,63,94,31,63,15,2
78,32,93,32,187,94,78,94,78,47,78,2
62,78,78,219,62,94,1015,79,125,62,62,2
62,63,62,63,78,63,62,93,110,93,485,2
31,47,78,219,62,63,1015,79,125,62,62,2
109,109,125,63,109,94,109,78,93,203,78,2
94,78,94,31,110,109,78,109,110,62,62,2
125,78,125,63,109,94,109,78,93,203,78,2
93,125,94,31,79,110,79,125,62,109,94,2
94,62,78,32,78,94,93,79,93,140,0,2
79,62,94,31,79,78,79,125,62,109,94,2
94,78,79,15,140,110,78,94,94,47,78,2
94,63,78,32,94,78,78,78,94,78,31,2
62,78,79,15,140,109,78,94,94,47,78,2
63,63,47,62,78,156,156,63,109,62,31,2
63,78,93,47,63,78,47,62,125,63,94,2
203,16,47,62,78,47,156,63,109,62,31,2
140,141,94,62,172,94,62,141,62,125,94,2
125,110,93,32,78,94,46,109,31,110,47,2
31,16,94,62,172,516,62,141,62,125,94,2
63,78,62,63,78,78,94,78,93,63,62,2
78,79,63,78,63,63,63,78,94,63,78,2
94,78,62,63,78,78,94,78,93,63,62,2
109,63,78,47,125,78,78,47,63,109,62,2
47,78,16,93,32,16,78,31,62,79,62,2
94,0,78,47,125,78,78,47,63,109,62,2
94,109,62,157,78,94,79,79,78,78,93,2
94,93,93,0,94,110,78,78,110,78,94,2
110,78,62,157,78,79,79,79,78,78,93,2
94,62,63,94,78,63,109,78,94,63,78,2
94,63,62,63,62,78,78,63,109,78,125,2
63,63,63,94,78,62,109,78,94,63,78,2
78,157,156,0,78,266,62,31,109,47,0,2
94,94,15,78,47,156,63,15,125,46,141,2
47,16,156,0,78,31,62,31,109,47,0,2
62,109,78,62,109,110,94,141,0,62,32,2
78,93,47,78,31,156,46,63,172,16,500,2
78,78,78,62,109,63,94,141,0,62,32,2
